,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,rp**님,어제,5,5,5,배달진짜빠르시구 좋아요!!
1,kb**님,어제,5,5,5,통밀브레드~ 아이가 참 좋아하는 빵이에요~~감사합니다
2,ba**님,4일 전,5,5,5,늘 먹던빵만 주문하게되네요~ 상미종식빵 머핀 맛있어요
3,rp**님,5일 전,5,5,5,배달 짱빨라여!! 맛있게먹었습니다
4,da**님,2022년 11월 12일,5,5,5,감사합니다 항상 맛잇게먹어요
5,hj**님,2022년 11월 12일,5,5,1,배달오류가 있었지만 잘 받았습니다.
6,uk**님,2022년 11월 7일,5,5,5,맛있게 잘 먹었습니다.
7,94**님,2022년 11월 4일,5,5,5,맛있어요 배달빠름
8,re**님,2022년 10월 31일,5,5,5,맛있게 잘 먹었습니다 ~ 감사합니다 ~~
9,sk**님,2022년 10월 26일,5,5,5,"좋아요 
자주 이용하고 있어요^^"
10,ba**님,2022년 10월 17일,5,5,5,맛있게 잘 먹었습니다~~
11,an**님,2022년 10월 15일,5,5,5,잘 먹었어요.
12,ba**님,2022년 10월 11일,5,5,5,빠르게 배송 잘 받았습니다 빵도 맛있게 잘 먹었습니다~
13,gg**님,2022년 10월 10일,5,5,5,편리하고 배달도 빨라요...굿
14,2f**님,2022년 10월 10일,5,5,5,빨리 받았어요 잘먹었습니다
15,le**님,2022년 10월 9일,1,5,1,배달하고 문자달랬는데 그냥 가버리시면 배달이왔는지 안왔는지 제가 수시로 확인을 해야하나요.... 업체 바꾸셔야 할 거 같습니다
16,wj**님,2022년 10월 3일,5,5,5,ㅠㅠㅠㅜ맛있어요..
17,ba**님,2022년 9월 29일,5,5,5,빠르게 잘 받았습니다 몽블랑 좋아해서 자주 먹는데 자꾸만 사이즈가 작아지는느낌이 드는건 저만의 착각인거겠죠 ㅠ
18,wj**님,2022년 9월 25일,5,5,5,맛있어요......
19,wj**님,2022년 9월 25일,5,5,5,맛있어요 배달도 빨리와요
20,le**님,2022년 9월 23일,5,1,1,문 앞에 두고 문자달라고 했는데 그냥 덩그러니 놓고가면 배달 왔는지 어떻게 아나요....? 업체 바꾸셔야할 거 같습니다
21,ba**님,2022년 9월 22일,5,5,5,배달도 빠르게오고 빵도 맛있게 잘 먹었습니다
22,hm**님,2022년 9월 19일,5,5,5,항상 만족하며 이용하고있어요
23,jm**님,2022년 9월 7일,5,5,5,빵을 시켜먹을 수 있어서 편합니다 만족합니다
24,jy**님,2022년 9월 2일,5,5,5,요양원에 계신 아버지 생신이라 케익 배달시켜 보내드렸어요~~ 현재 코로나때문에 면회도 금지되서 이렇게나마 사진 받으니 좋네요^^  덕분에 즐거운 생일파티 하셨답니다 감사합니다^^
25,st**님,2022년 8월 31일,5,5,5,너무 맛있게 잘 먹었어요 :)
26,nr**님,2022년 8월 31일,5,5,5,배송빠르고 친절하세요
27,re**님,2022년 8월 29일,5,5,5,맛있게 잘 먹었습니다 ~ 감사합니다 ~
