,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,hw**님,2일 전,5,5,5,맛있게 잘 먹었습니다
1,ev**님,2022년 11월 7일,5,5,5,맛있게 잘 먹었습니다 ^^
2,ha**님,2022년 10월 22일,5,5,5,너무 맛있어요 ㅎㅎ
3,hu**님,2022년 10월 18일,5,5,5,맛있게 잘먹었습니다
4,kb**님,2022년 10월 6일,4,4,5,배달도 빠르고 맛있네요. 가격은 좀..
5,ji**님,2022년 10월 2일,5,5,5,너무너무 맛있어요^^
6,su**님,2022년 10월 2일,5,5,5,맛있게 잘 먹었습니다^^
7,ki**님,2022년 9월 28일,5,5,5,맛나요~~~~~~~
8,gj**님,2022년 9월 26일,5,5,5,배달 신속. 맛있음
9,bl**님,2022년 9월 25일,5,5,5,맛있게 잘 먹었습니다아~!
10,bn**님,2022년 9월 24일,5,5,5,포테이토 땡겨서 먹었는데 포테이토도 역시 맛나요
11,pa**님,2022년 9월 22일,5,5,5,처음먹어보는데 엄청맛있어요
12,sh**님,2022년 9월 21일,2,2,5,"일반피자집같아요^^
 괜찮아요"
13,wl**님,2022년 9월 20일,5,5,5,브라우니 최고
14,al**님,2022년 9월 19일,5,5,5,처음먹어봤는데 맛있네요. 근데 역시 비싸서.. 할인할때먹는게 국룰같습니다
15,ri**님,2022년 9월 19일,5,5,5,존맛탱!!!! 재주문의사 100
16,se**님,2022년 9월 12일,4,4,5,브라우니는 맛있는데 윙봉은 쏘쏘
17,wo**님,2022년 9월 7일,5,5,5,배달 예정시간보다 더 빨리 와서 너무 좋아요. 피자도 너무너무 맛있어요.
18,na**님,2022년 8월 30일,5,5,5,"혼자서  완판했어요 
존맛탱"
19,hu**님,2022년 8월 28일,5,4,5,맛있게 잘먹었습니다
20,yw**님,2022년 8월 27일,5,5,5,토마토 소스가 맛있습니다.
21,sk**님,2022년 8월 21일,4,5,5,잘먹었습니다 감사합니다
22,ko**님,2022년 8월 21일,5,5,5,너무 맛있었어요!!!!!!파파존스는 진리입니다
23,ev**님,2022년 8월 20일,5,5,5,맛있게 잘 먹었습니다.
24,ji**님,2022년 8월 12일,5,5,5,"오늘도 너무 맛있어요~^^ 
힘들게 일 한날엔 맛있는걸 먹어줘야해요"
25,ak**님,2022년 7월 30일,5,5,5,맛있게 잘 먹었습니다
26,oa**님,2022년 7월 24일,5,5,5,피자발머거습다아아아
27,xj**님,2022년 7월 22일,5,5,5,역시 피자는 파파존스!
28,kl**님,2022년 7월 21일,4,4,5,맛있게 잘먹었어요
29,kl**님,2022년 7월 21일,4,4,5,제시간에 잘배달해주셔서 감사합니다 잘먹었어요
30,zh**님,2022년 7월 18일,5,5,4,맛잇어요 재구매 의향 잇음
31,jd**님,2022년 7월 17일,4,5,4,"#식후감
배달 20분이나 빨리왔네요 역시 최고 ㅎㅎ"
32,ji**님,2022년 7월 13일,5,5,5,"언제나 맛있습니다^^ 
잘먹었습다"
33,rt**님,2022년 7월 12일,5,5,5,맛있습니다 감사해요
34,ha**님,2022년 7월 2일,5,5,5,너무 맛있어요ㅎㅎㅎㅎㅎ
35,ji**님,2022년 6월 30일,5,5,5,역시나 파파존스에요~ 맛있어요^^
36,bn**님,2022년 6월 29일,5,5,5,피자는 여기만 먹습니다
37,ev**님,2022년 6월 25일,5,5,5,맛있게 잘 먹었습니다~
38,ka**님,2022년 6월 20일,5,5,5,정말 맛있게 잘 먹었어요!
39,ma**님,2022년 6월 19일,5,5,5,모두 대만족입니다~~
40,sk**님,2022년 6월 15일,5,5,5,맛있게 먹고 있어요!!
41,lc**님,2022년 6월 13일,5,5,5,"사진을 못 찍어서 아쉬운데
역시 가성비 갑! 파파존스네여"
42,ji**님,2022년 6월 12일,4,4,4,"파파존스 피자 넘 맛있어요~ 
오늘은 파스타도 시켰는데 맛있었어요"
43,mi**님,2022년 6월 6일,5,5,5,맛과 음식의 향이 우수하다
44,ju**님,2022년 5월 29일,5,5,5,맛있게 잘 먹었습니다~
45,ev**님,2022년 5월 29일,5,5,5,담백하고 맛있어요^^
46,ev**님,2022년 5월 29일,5,5,5,맛있게 잘 먹었습니다 ~~
47,na**님,2022년 5월 15일,5,5,5,맛있어요! 배달도 빠릅니다.
48,ad**님,2022년 5월 13일,5,5,5,페퍼로니 할인때먹으니 가성비 최고
49,ks**님,2022년 5월 11일,5,5,5,좀 식어서 온게 아쉬웠는데 피자는 맛 있었습니다
50,mf**님,2022년 5월 10일,5,5,5,미국맛 잘먹었습니다
51,ji**님,2022년 5월 8일,5,5,5,"파파존스 피자는 언제 먹어도 맛있습니다. 
맛있게 먹었습니다^^"
52,pr**님,2022년 5월 7일,5,5,5,배달이 엄청 빠르고 피자도 맛있었습니다
53,ss**님,2022년 5월 6일,5,5,5,세가지 맛중에 맛없는것 하나 없었어요!! 완맛♡
54,ss**님,2022년 5월 6일,5,5,5,생각보다 살짝 크기가작았지만 완전 짱맛있었습니다!
55,bl**님,2022년 5월 5일,5,5,5,맛있게 잘 먹었습니다
56,ca**님,2022년 5월 3일,5,5,5,맛있게 질먹었습니다 굿굿
57,wi**님,2022년 4월 24일,5,5,5,생가보다 맛있네요
58,le**님,2022년 4월 23일,5,4,5,"너무너무 맛있는어요.
잘 먹었어요."
59,sk**님,2022년 4월 23일,5,5,5,맛있는 피자 파파존스피자
60,ai**님,2022년 4월 18일,5,5,5,피자는 역시 파파존스!!
61,su**님,2022년 4월 17일,5,5,5,맛나요ㅋㅎㅋㅅㅋㅅㅋㅅㄱ
62,tc**님,2022년 4월 9일,5,5,5,맛나게 먹었습니당~~
63,ki**님,2022년 4월 3일,5,5,5,배달도 빠르고 맛있게 잘먹었습니다~!
64,ko**님,2022년 4월 2일,3,3,5,"토핑에 피클인지 뭔지 모르겠지만 피클같은게 구워서 올라옴
모르고 시켰고 모른상태에서 먹어봤는데 구워도 신맛이 느껴짐 근데 나쁘진 않았음
피클 싫어하는 사람에겐 호불호 있을듯 하다 (나같은사람)"
65,sk**님,2022년 4월 2일,5,5,5,파파존스는 최고다.. 구퍼파파스도 최고다
66,se**님,2022년 4월 2일,5,5,5,배달원분도친절하시고 맛있어요
67,mo**님,2022년 4월 1일,5,5,5,배달해주신 분 너무 친절하셨습니다!
68,ai**님,2022년 4월 1일,5,5,5,역시 피자는 파파존스!
69,dd**님,2022년 3월 30일,4,5,5,맛있는데 생각보다 치즈가 적어요
70,wi**님,2022년 3월 27일,5,5,4,맛있게 먹었어요..
71,to**님,2022년 3월 26일,3,3,3,아이리쉬 포테이토 오리지널 크러스트 잘 먹었습니다.
