,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,mi**님,10시간 전,5,5,5,"맛있게 잘 먹었습니다!
배달도 빠르고 양도 많고 맛있고 다 좋아요!"
1,ko**님,11시간 전,5,5,5,항상 맛 있어서 여기에서만 주문합니다
2,si**님,12시간 전,5,5,5,베이컨 추가해서 푸짐하고 맛있게 잘 먹었습니다 ㅎ
3,79**님,18시간 전,5,5,5,아주 맛있어요. 아주 좋아요.
4,ja**님,23시간 전,5,4,5,굳!
5,ye**님,어제,5,4,5,고르곤졸라 피자 시켯는데 ..저 상큼한 어니언소스(?) 단연 최고네용. 꿀 안찍어먹고 그 소스로만 먹엇다는 ... 와..최고
6,zl**님,어제,5,5,5,웬만한 브랜드 피자보다 훨씬 맛있고 저렴해요  포장도 상자에 꼼꼼하게 포장되어서 왔고 피자도 따뜻하게 잘도착해서 맛있게 먹었습니다 너무 만족해요😊
7,us**님,3일 전,5,5,5,맛나요! 리얼임!!
8,al**님,3일 전,5,5,5,피자는 서오릉이 최고임…
9,k9**님,3일 전,5,5,5,진짜 맛있어서 진짜 배부른데 계속 먹었어요...
10,an**님,3일 전,5,5,5,처음 시켜봤는데 맛있게 잘먹었습니다! 다음에 또 주문할게요~!
11,ze**님,4일 전,5,5,5,"유난히 도우가 고소하니 맛있는거 같아요 ㅎ
잘 먹었습니다"
12,db**님,5일 전,5,5,5,"피자는 여기만 시켜먹어요 
새우가 실하고 도우도 쫄깃해서 맛나요 ㅎㅎ"
13,bo**님,5일 전,5,5,5,피자시킬땐 무조건서오릉시켜요 너무맛있어료!!!
14,ra**님,5일 전,5,5,5,"첫주문인데 여기 너~~~무 만족해요^^
퀄이 가격대비 넘 좋아요!!! 무조건 피자는 앞으로 여기서 주문할꺼예요  변함없길ᆢ"
15,yo**님,5일 전,5,5,1,"배달 어디 들렀다 오셨나봐요 피자가 다 식었어요
익스프레스라 어디 들리지 못할텐데 중간에 멈춰계시더라구요"
16,79**님,6일 전,4,4,5,잘먹었습니다~~~ 배달 진짜 빨라서 놀랐어요
17,fe**님,6일 전,5,5,5,항상 맛있습니다...  몇번째주문인지는 모르겠지만
18,lj**님,일주일 전,5,5,5,"역시 서오릉 구로점!!!! 맛있어요~~~☆
스파게티는 첨 시켜봤는데 제기준에 소스가 조금 부족했어요~ 제가 소스 많은걸 좋아해서...^^;; 
그거빼곤 맛있네요~~ 잘먹었습니다."
19,zk**님,일주일 전,5,5,5,"다른데서 우연히 먹어봤다가
생각나서 한번 시켰봤는데
진짜 맛있게 먹었습니다!!!"
20,li**님,2022년 11월 9일,5,5,5,먹기 바빠 사진은 깜빡 했지만 다른 지역보다 토핑도 치즈도 맛있어요
21,na**님,2022년 11월 9일,5,5,4,"토핑도 푸짐한 피자 잘~ 먹었어요
고추가 토핑으로 올려져있는게 깔끔하고 맛있어요"
22,re**님,2022년 11월 8일,5,5,5,"피자가 너무 맛있어요 진짜 순식간에 흡입했고 같이 오는 빨간 소스는 불고기피자랑 너무 잘 어울리더라구요ㅜㅜ
너무 맛있게 잘 먹었습니다!
또 주문할게요!"
23,se**님,2022년 11월 8일,5,5,5,"남자친구가 서울 피자 맛집 원탑이라고 자랑을 주구장창.. 
구래서 걔 당직 설 때 혼자 시켜 먹어봤슴다 ㅋㅋ 
예 진ㄴ짜 존맛입니다 .. ⸝⸝ʚ̴̶̷̆ ̯ʚ̴̶̷̆⸝⸝ .. 나도 서울 살래.. 
혼자 한 판 다 먹을 수 있었지만 
사랑의 힘으로 한 조각 정도 남겨줬네요 ㅋㅋ ♥️"
24,ck**님,2022년 11월 8일,5,5,5,콤비네이션도 맛있네요
25,lj**님,2022년 11월 7일,5,5,5,"적당한 시간에 잘 도착했고 피자도 맛있어요~~~
앞으로 요기 자주 시켜먹을라구요~~
글고 소스들두 넘 맛있네요~~^^"
26,sh**님,2022년 11월 7일,5,5,5,언제나 실망시키지않는 존맛탱 넘버원 피자집 ㅜㅜ
27,ca**님,2022년 11월 6일,4,4,5,배달빠르고 잘먹었어요
28,al**님,2022년 11월 6일,5,5,5,서오릉 알게된 후로 피자는 무조건 서오릉에서만 먹어요 최고임
29,wl**님,2022년 11월 5일,5,5,5,오랜만에 먹었는데 여전히 변함 없이 너무 맛있네요!!! 디핑소스를 두개나 주시고 콘샐러드도 주시니까 더 좋습니다!!!
30,pt**님,2022년 11월 5일,5,4,5,피자가맛있어요~^^
31,qk**님,2022년 11월 4일,5,5,5,존-맛도리!!!!!!
32,so**님,2022년 11월 3일,5,5,5,맛있어요! 배달도 빠르고 좋았어요! 치즈크러스트 추가하면 정말 맛있어요..!
33,jj**님,2022년 11월 1일,5,5,5,윽ㅜㅜ사진은 못찍었지만 맛있게 잘먹었습니다~~
34,br**님,2022년 10월 31일,5,5,5,"맛있어요.
한동안 다른데 도전해봤지만.ㅠ 실망하고 다시 서오릉피자로 돌아왔습니다. 여기만큼 토핑 많고 맛난데 없는거 같아요! 
배달도 주소를 모르고 다른데로 했는데 ㅠ 배달 하시기 전에 전화주셔서 다행히 집으로 잘 배송왔습니다! 너무 감사합니다 : )"
35,01**님,2022년 10월 30일,5,5,5,너무 맛있어요 !! 배달도 빠르구요. 맛있게 잘 먹겠습니다
36,ju**님,2022년 10월 30일,5,5,5,항상 만족하고 맛있게먹습니다
37,sk**님,2022년 10월 30일,5,5,5,맛있게먹었습니다!!
38,ga**님,2022년 10월 30일,5,5,5,믿고먹습니다 질먹었습니다!
39,0c**님,2022년 10월 30일,5,5,5,굿굿! 항상 잘 먹고 있습니다
40,mo**님,2022년 10월 29일,5,5,4,역시~ 오늘은 좀 식어서 왔지만 맛은 좋네요^^
41,ma**님,2022년 10월 28일,5,5,5,가맹점 가게만 자주 보다가 콤비 시켜봤는데 유명 브랜드보다 더 입맛에 짝 붙네요.
42,ay**님,2022년 10월 26일,5,5,5,으악 잘먹겠습니다!!!!
43,ec**님,2022년 10월 26일,5,5,5,처음 주문해보는데 정말 맛있게 잘 먹었습니다!!
44,ko**님,2022년 10월 26일,5,5,5,잘 먹었어요 또 주문할게요~~!!!
45,po**님,2022년 10월 25일,5,5,5,콘치즈피자 넘넘맛있어용🥺
46,my**님,2022년 10월 25일,5,5,5,배달도 빠르고 진짜 너무너무 맛있어요 앞으로 서오릉피자로 정착!!!
47,ro**님,2022년 10월 24일,5,5,5,"이번이 세번째인가 네번째 재주문이에요. 
서오릉피자는 도우가 쫄깃하고 뻑뻑하지 않아서 좋아요! 
원래 가장자리 안먹는데 서오릉피자는 먹습니닷!  늘 잘먹고 있어요"
48,wo**님,2022년 10월 24일,5,5,5,치즈토핑해떠니 완전 고소하게 맛있게 먹었어요!!
49,bs**님,2022년 10월 23일,5,5,5,"빠르게 잘 받았습니다~!
감사합니다~!"
50,ti**님,2022년 10월 23일,5,5,5,고구마 맛있네용 ㅎㅎ 잘먹었습니다
51,al**님,2022년 10월 23일,5,5,5,"실망시키지않는 서오릉피자 구로점
배달음식은
가끔 시키고 돈아깝고후회스러울때 많은데
서오릉은 그런 생각 1도 안들어여^^*
강추"
52,ck**님,2022년 10월 22일,5,5,5,고구마 위주로 시켰었는데 다른 메뉴도 맛있네요
53,yo**님,2022년 10월 21일,5,5,5,콤비네이션하고 치즈피자 반반 시켰어요! 치즈피자 느끼할까봐 걱정했는데 맛있어욯ㅎ 4번째 시킨거같은데 실망시킨적이 없네용ㅎ 배달도 30분만에 따뜻하게왔습니다 감사합니다!
54,a0**님,2022년 10월 21일,5,5,5,감사합니다 직원들이랑 맜있게 잘 먹었습니다 자주시킬게요!
55,cj**님,2022년 10월 21일,5,5,5,페퍼로니+@ 국룰!!!
56,al**님,2022년 10월 19일,5,5,5,엄청 양많고 맛있었습니다:)
57,hj**님,2022년 10월 17일,5,5,5,"여기 동네로 처음 이사오고 시켜본 피자집이 여기인데 너무 맛있었어서 고민도 안하고 또 여기서 시켰어요 토핑도 아낌없이 가득 주시고 콘샐러드도 너무 맛있고 각종 소스에 구로점 대박이네요 
다른 피자집을 안찾게될만큼 너무 만족스러웠어요 이만한 토핑을 주는 집이 흔치 않다는 걸 알기에ㅎㅎ 앞으로도 피자 먹고싶으면 여기서 시킬거에요"
58,ay**님,2022년 10월 17일,5,5,5,배달도 빠르고 진짜 맛있어요!!!
59,ya**님,2022년 10월 17일,5,5,5,고구마 피자 매니아 어린공주 맛짱이래요 😋
60,yo**님,2022년 10월 16일,5,5,5,알찬 토핑과 냄새에 끌려서 사진 찍을 생각도 못하고 와구와구 먹었네요..ㅋㅋ 정말 잘먹었습니다😊
61,a8**님,2022년 10월 16일,5,5,5,"빵도 부드럽고 치즈도 부드럽고 진짜 맛있어요ㅠㅜㅜ
양파랑 버섯 추가할 수 있어서 지이이이인짜 맛있게 먹었습니다!
앞으로 피자는 서오릉에서만 먹을래요 진짜 최고."
62,co**님,2022년 10월 16일,5,5,5,양도 많고 맛있어여!
63,qk**님,2022년 10월 15일,5,5,5,진짜 배달빠르고 토핑양많고 맛있고 최애맛집입니다!!!
64,wo**님,2022년 10월 14일,5,5,5,참맛나요 피자맛집임
65,ak**님,2022년 10월 12일,5,5,5,사진도 못 찍고 금새 다 먹어버렸네요 맛있게 잪 먹었습니다
66,re**님,2022년 10월 11일,5,5,5,너무 맛있습니다. 같이 온 소스도 너무 맛있고 재료가 신선한게 느껴져요. 자주 시켜먹을 거 같아요
67,ko**님,2022년 10월 10일,5,5,5,"너무 잘먹었어요
또 주문할게요!!"
68,tn**님,2022년 10월 10일,5,5,5,너무 맛있어요!!!치즈크러스트 너무 맛있게 잘 먹었구요~~피클 콘샐러드 피자소스 갈릭소스 핫소스 파마산치즈가 왔는데 맛이 너무너무 좋아요^^강추 괜히 천개가 넘는 리뷰가 5점이 아니네요~~~다음에 또 시켜먹으려구요~~
