,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,a9**님,16시간 전,5,5,5,어무 ~맛있어요 ~~
1,tk**님,어제,5,5,5,진짜 완전 맛있어서 또 시켰네요
2,ho**님,3일 전,5,5,5,고르곤졸라 피자 너무 맛있어요! 꿀도 넉넉하게 넣어주시고 양도 진짜 많아서 너무 잘 먹었습니다!
3,yo**님,3일 전,4,5,4,잘먹었습니다 ~~~
4,sa**님,4일 전,5,5,5,배달도 빠르고 너무 맛있게 잘먹었습니다!
5,da**님,4일 전,5,5,5,너무 맛있게 잘먹었습니다. 비오는날 배달해주셔서 감사드립니다.
6,dl**님,5일 전,5,5,5,맛있게 잘 먹었습니당
7,sa**님,6일 전,5,5,5,여기맛은 인증된곳이라 츄라이츄라이
8,he**님,일주일 전,5,5,5,너무나 맛나게 먹느라 이 사진빆에 없네요. 맛있어요.
9,bs**님,2022년 11월 8일,5,5,5,"피자 크기도 크지만 크기만큼 맛도 너무 좋은 빅스타 피자.
저흰 항상 2판을 시켜서 남은걸 담날까지 맛있게 먹는답니다~^"
10,dl**님,2022년 11월 7일,5,5,5,맛있게 잘먹었습니다ㅎㅎ
11,si**님,2022년 11월 7일,5,5,5,빅스타 피자 꼭 먹으세요!  후회없음돳
12,je**님,2022년 11월 6일,5,5,5,평소엔 배달이 조금 늦을때가 있어서 피자가 식어서 올때도 있었는데 오늘은 딱 맛있을때 도착해줘서 좋았습니다. 요즘 피자먹을때는 여기서만 시켜먹는것 같네요. 그정도로 맛있고 가성비도 괜찮다고 생각합니다.
13,dl**님,2022년 11월 5일,5,5,5,맛있어요 배달도 빠르고 서비스 페퍼로니도 좋아요
14,tk**님,2022년 11월 4일,5,5,5,너무맛있어요 ㅎㅎ 또 시킬게요 이미 단골인거같지만
15,cm**님,2022년 10월 30일,5,5,5,항상 여기서만시켜먹어요~^^
16,sa**님,2022년 10월 30일,5,5,5,여긴 늘 존맛이죠 타지역에서도 자주 먹어요
17,tk**님,2022년 10월 30일,5,5,5,❤️ 너무맛있어용❤️!!!!!!!!
18,gu**님,2022년 10월 30일,5,5,5,"너무 맛있어서 인증샷 없이 다 먹을뻔 했어요🤣🤣
피자 크기도 엄청 크고 토핑도 충분해요
개인적으로 올리브를 좋아해서 추가해서 시킨거에요
서비스로 주신 스파게티도 소스가풍부해서 맛있게 먹었습니다👍"
19,je**님,2022년 10월 30일,5,5,5,자주 시켜먹는 빅스타피자
20,ms**님,2022년 10월 30일,5,5,5,피자 너뮤 맛있어요~ 치즈도 적당해서 느끼하지 않았구요. 치킨은 진짜 최고네요. 모든 음식이 따뜻하게 와서 맛나게 잘먹었습니다. 가성비도 좋구요. 강추합니다!!
21,an**님,2022년 10월 30일,5,5,5,항상 맛있습니다
22,rb**님,2022년 10월 29일,5,5,5,친구랑 맛있게 잘먹었습니다 ㅎㅎ
23,ba**님,2022년 10월 29일,5,5,5,가성비도 너무 좋아요!
24,hi**님,2022년 10월 29일,5,5,5,빅스타는 역시 구로점임!! 갸꿀맛임!! 다음엔 라자냐시카고로 도전!!
25,go**님,2022년 10월 29일,5,5,5,제가 좋아하는 브랜드라… 별점은 만점 드립니다…!! ㅠㅜ 하지만 이번엔 좀 실망이었어요. 피자 소스가 좀 부족해서 살짝 싱거웠구 배달 상태는… 사진과 같았습니다ㅠㅠ 담엔 신경써주세요..!ㅠ
26,yn**님,2022년 10월 29일,5,5,5,역시 실망시키지않는 빅스타의 라자냐피자!!! 리뷰이벤트로 받은 미니 스파게티도 따뜻할때 왔네요:)
27,et**님,2022년 10월 29일,5,5,5,"피자 먹고싶을때마다 시켜먹는데 맛있어요 
크기도 커서 가족끼리 먹어도 남아요 :)"
28,wi**님,2022년 10월 29일,5,5,5,올해 먹어본 피자중에 제일 맛있었음!!
29,yo**님,2022년 10월 28일,5,5,5,"첨먹어보는데 독특한맛이네욥
토마토소스 좋아하시면강추~"
30,lo**님,2022년 10월 27일,5,5,5,잘 먹었습니다.....
31,sw**님,2022년 10월 26일,5,5,5,와 진짜 늘 애용하지만 라자냐 피자가 리뷰가 제일 많은 이유를 알겠어요!!
32,ak**님,2022년 10월 24일,5,5,5,"라자냐시카고는 진리죠
역시 맛있구요
치킨도 오븐에 구운거같고 염지도 되있어서 짭짤하니 맛있습니다"
33,ch**님,2022년 10월 24일,4,5,5,어.. 좀 짭니다. 제품은 좋음.
34,th**님,2022년 10월 24일,5,5,5,요금 채울려고 시킨 치킨이 의외로 맛있네요
35,da**님,2022년 10월 24일,5,5,5,피자 맛이 아주 좋읍니다.
36,fe**님,2022년 10월 24일,4,5,5,진짜크네요 ㅋ 잘먹었습니다!
37,ty**님,2022년 10월 23일,5,5,5,맛있게 잘먹었습니다.
38,rb**님,2022년 10월 22일,5,5,5,항상 맛있게 잘먹고있습니다~ 파스타도 맛있네요 ㅎㅎ
39,hy**님,2022년 10월 22일,5,5,5,항상 맛있게 잘먹고있어요
40,ju**님,2022년 10월 21일,5,5,5,다음에도 빅스타입니다!
41,ho**님,2022년 10월 20일,5,5,5,맛있었습니다 배달도 빠릅니다
42,05**님,2022년 10월 15일,5,5,5,맛잇게 잘 먹었어요
43,qk**님,2022년 10월 14일,5,5,5,사이즈 진짜 크고 너무 맛있어요!!
44,sw**님,2022년 10월 14일,5,5,5,"배달도 빠르게 오고
맛나게 잘먹었어요~^^"
45,je**님,2022년 10월 13일,5,5,5,존맛...한줄기의 빛
46,ch**님,2022년 10월 12일,5,5,5,"라자냐 당길때마다 먹어요. 
진짜 진하고 맛있음 ㅠㅠ"
47,fo**님,2022년 10월 11일,5,5,5,오랜만에 먹으니 맛있네요 반반씩 담겨오는것고 신기하구요 ㅎㅎ :)
48,ha**님,2022년 10월 9일,5,5,5,양과 맛 모두 만족합니다
49,tl**님,2022년 10월 8일,5,5,5,맛있게 잘 먹었습니다~
50,sa**님,2022년 10월 5일,5,5,5,~~~~~~~~~~
51,ro**님,2022년 10월 5일,5,5,4,굿 잘먹었어요....
52,zk**님,2022년 10월 1일,5,4,5,"진짜 큰데 토핑/도우가 얇아서 크기대비 배는 덜 부른데
씬 피자 먹는느낌이라 좋아요"
53,dc**님,2022년 10월 1일,5,5,5,맛있습니다. 배달도 빠릅니다.
54,hy**님,2022년 10월 1일,5,5,5,치즈추가 항상 진리네요!
55,ha**님,2022년 9월 30일,5,5,5,빅사이즈라서 언제나 배불리 먹고 있네요
56,ty**님,2022년 9월 30일,5,5,5,"두개로 나눠왔네요
잘 먹었습니다."
57,yb**님,2022년 9월 27일,5,5,5,급한맘에 박스만 사진찍고 맛있게먹음 피자왕큼
