,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,se**님,12시간 전,5,5,5,넘맛있어요!!^^ 늘 요기서만~먹어요
1,ho**님,14시간 전,5,5,5,잔뜩 올라간 토핑들도 좋았고 피자의 뜨끈함이 유지될정도로 빠른 배달에 만족
2,sr**님,14시간 전,5,5,5,잘먹엇ㅂ니당 오랫만에 먹엇어요
3,nh**님,2일 전,5,5,5,치즈가 맛있어요!!!!
4,nh**님,2일 전,5,5,5,배달도 빠르고 맛있아요!
5,th**님,4일 전,5,5,5,빠르고 맛있었어요 굿굿
6,hy**님,일주일 전,5,5,5,맛있어요!! 피자 한판 야무지게 먹었습니다~
7,su**님,2022년 11월 6일,5,5,5,"정말 오랜만에 주문 했습니다. 
마감 시간 1분 앞두고 주문해서 지송해요 ㅠㅠ
취소 버튼 누를려고 보니 접수가 완료 되서 ..
더 지송 해진 상황 🤭😱😬😔💦💦💦


덕분에 맛잇게 잘 먹었습니다 
리뷰이벤트참여로 주신 음료도 감사합니다:)

다음에 또 재주문… 은 일찍 하겠습니다 🙏💦💦"
8,kh**님,2022년 11월 2일,4,4,4,오늘 처음시켰어요 피자맛있네요~
9,zh**님,2022년 11월 2일,5,5,5,부모님댁에 주문해 드렸어요. 두분다 너무 맛있게 잘 드셨다고 하네요..사진은 너무 맛없게 찍으셔서  올리지 못하고 글만 남깁니다..ㅎㅎ
10,rn**님,2022년 11월 1일,5,5,5,맛있어요 잘먹었습니다~~~
11,du**님,2022년 10월 31일,5,5,5,배달도 맞춰 잘왔고 고구마달달하니 밋나요
12,ls**님,2022년 10월 30일,5,5,5,맛나게 자알 먹었습니다
13,ws**님,2022년 10월 30일,5,5,5,씬 맛나네여 바삭하
14,rl**님,2022년 10월 30일,5,5,5,맛있었어요 감사합니다
15,di**님,2022년 10월 29일,5,5,5,너무 맛있었어요!!! 다음에 또 시켜먹을게요^^
16,kw**님,2022년 10월 29일,5,5,5,배달 빠르네요~~~ 잘먹었습니다
17,sh**님,2022년 10월 28일,5,5,5,맛있게 잘먹었습니다 ~😋
18,h_**님,2022년 10월 27일,5,5,5,배달빠르고 맛잇어요!!
19,s2**님,2022년 10월 26일,4,4,4,"그냥저냥 먹을만하네용,,,,,"
20,ia**님,2022년 10월 25일,5,5,4,"오랜만에 피자 먹어보는 것 같아요!
잘먹었습니다~!"
21,je**님,2022년 10월 25일,5,5,5,씬피자 너무맛있는데요ㅡ?? 끝부분 바삭거리고 빵 많지않아서 물리지도않고 최근에 먹은 피자중에 젤 맛있어요
22,ok**님,2022년 10월 24일,5,5,5,배가고파서.. 허겁지겁 먹다보니 치우고있엇어요.. 허허허
23,so**님,2022년 10월 23일,5,5,5,맛있게 잘 먹었습니다.
24,ni**님,2022년 10월 23일,5,5,5,존맛탱 ㅠㅠ 짱맛이어요
25,ak**님,2022년 10월 22일,5,5,5,"맛있어요
다음엔 콤비먹어봐야겠네요"
26,lu**님,2022년 10월 20일,5,5,3,배달이 늦게와서 좀 많이 식었은거빼면 맛있어요
27,vt**님,2022년 10월 19일,3,4,5,"치즈크러스트 부분의 빵이 너무 두껍고 빵에 검은깨가 들어있어서 치즈의 고소한맛을 헤침과 동시에 치즈본연의 맛도 전과 달라진듯합니다 
그리고 전체적으로 기름기가 많습니다
때문에 배달시간이 짧았음에도 눅눅했고 느끼했습니다
토핑,치즈 커팅이 제대로 되지 않아 먹기 불편했습니다

-지나가던 피자마스터-"
28,k9**님,2022년 10월 19일,5,5,5,항상 맛있게 먹고 있습니다. 근데 피클 빼면 쿠폰도 같이 빠지는거같아요.. 얼마전 피클 빼는거 잊고 받을 땐 쿠폰 주셨는데 오늘은 피클 빼니 또 없군요;;
29,ne**님,2022년 10월 19일,5,5,5,잘 먹었습니다 도우에 발려 있는 토마토 소스가 맛있어요
30,98**님,2022년 10월 18일,5,5,5,씬도우 바삭바삭 냐먐ㅁㅁ 맛있어요
