,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,el**님,2일 전,5,5,5,맛있게 잘 먹었습니다
1,jy**님,3일 전,5,5,5,맛있게  맛있었어요
2,yo**님,5일 전,5,5,5,맛있게 먹었습니다~!!!!
3,jm**님,2022년 11월 6일,5,5,5,맛있게 잘먹었습니다
4,az**님,2022년 11월 5일,4,5,5,"훈제치킨땜에 시켰는데
오늘은 살이 좀 퍽퍽했내요"
5,wh**님,2022년 11월 2일,5,5,2,피자는 빠르고 맛있게 잘 먹었는데요 배달원분들 요청사항 한 번만 읽어주시면 좋을거같아요
6,dp**님,2022년 10월 30일,5,5,5,배송빠르고 맛나요!!
7,ue**님,2022년 10월 30일,5,5,5,맛있게 잘먹었습니다^^*
8,41**님,2022년 10월 29일,5,5,5,맛도 있고 배달이 완전 빨라서 잘먹었습니다.
9,rj**님,2022년 10월 29일,5,5,5,"배달 빠르고
잘 먹었습니다"
10,rk**님,2022년 10월 27일,5,5,5,맛있어용 반올림ㅎㅎ
11,as**님,2022년 10월 24일,5,5,5,간만여고구마 시켰는데 맛나네요^^
12,er**님,2022년 10월 23일,5,5,5,4일만에 또 주문했습니다ㅜㅜ 오늘도 또 시키고싶어요 넘 맛있어용
13,ru**님,2022년 10월 23일,4,5,5,혹시나하고 갈릭넛 먹어봤는데 제 입맛은 아닌듯...그냥 손잡이를 디핑소스에 찍어먹는 것만 못하네요.
14,hj**님,2022년 10월 23일,5,5,5,이벤트덕에 저렴히 잘 먹었어요.
15,yo**님,2022년 10월 22일,5,5,5,맛있게 먹었습니다~!!!!!
16,ya**님,2022년 10월 21일,5,5,5,맛있게 잘 먹었습니다
17,th**님,2022년 10월 20일,5,5,5,맛있게 잘먹었어요
18,rh**님,2022년 10월 19일,5,5,5,오랜만에 시켜먹는데 맛있네요 할인도 하고 피자도 피클도 맛있고 갈릭 소스도 맛있고 종종 시켜먹겠습니다.
19,er**님,2022년 10월 19일,5,5,5,너무맛있어요ㅜㅜㅜ 이번주내  또 시킬껍니다
20,ch**님,2022년 10월 17일,5,5,5,맛있게 잘  먹었네요
21,go**님,2022년 10월 13일,5,5,5,"하..너무맛있어..
가성비 최고"
22,yo**님,2022년 10월 10일,5,5,5,맛있게 먹었습니다~!!!!
23,do**님,2022년 10월 9일,5,5,5,고구마 맛있어용!!
24,gu**님,2022년 10월 8일,5,5,5,배달도빠르고 맛있어요 ㅋㅋㅋ
25,wn**님,2022년 10월 7일,5,5,5,맛있게잘먹었습니다~
26,cs**님,2022년 10월 2일,5,5,5,맛있게 잘먹었습니다
27,hw**님,2022년 10월 2일,5,5,5,맛있게 잘 먹었습니다
28,ek**님,2022년 10월 1일,5,5,5,"피자는 반올림만 먹어요
맛있거든요"
29,ma**님,2022년 10월 1일,5,5,5,모두 모두 만족합니다~~
30,jw**님,2022년 9월 30일,5,5,5,부모님 시켜드렸는데 맛있다고 좋아하셨어요~ 다음에 또 시킬게요~
31,dp**님,2022년 9월 29일,5,5,5,반올림 마싯써용 ㅋㅋ
32,re**님,2022년 9월 29일,5,5,5,맛있게 잘먹었습니다
33,ha**님,2022년 9월 29일,5,5,5,배달 엄청 빠르고 맛있네용
34,ra**님,2022년 9월 29일,5,5,5,배달도 빠르고 맛있었어요
35,be**님,2022년 9월 29일,5,5,5,"맛었구요
다음에 또 시켜먹을게요"
36,si**님,2022년 9월 28일,5,5,5,"믿고 먹는 반올림피자샵 맛있게 먹었습니다.
다만 이번에는 도어에서 밀가루 맛인가?
이전과 조금 다른 맛이 느껴져서 사알짝 아쉬웠습니다.
암튼 또 시킬께요!!"
37,ki**님,2022년 9월 28일,5,5,5,넘. 맛있어요 또 주문 하고싶네요
38,rk**님,2022년 9월 28일,5,5,5,맛있어용!!!!! 또 주문 예정ㅎㅎ 믿먹 반올림
39,yo**님,2022년 9월 23일,5,5,5,맛있게 먹었습니다~!!!!!
40,em**님,2022년 9월 15일,5,5,5,맛있음  피자 빵부분 좋아하는 분들은  추천
41,go**님,2022년 9월 15일,5,5,5,"추석 끝에 아주 맛있게 잘먹었네요
역시 반올림"
42,h_**님,2022년 9월 13일,5,5,5,맛잇어용 굳굳굳
43,sh**님,2022년 9월 10일,5,5,5,"요즘 R사이즈로 주문해서 많이 먹었는데
추석이라 가족이 모이게 되어 L사이즈를 주문했어요~
오늘은 도우 반죽이 얇고 질기다고"
44,ki**님,2022년 9월 10일,5,5,5,맛은 ~  말할필요 없이 맛있고  . 배달도 생각보다 훨신 빨랐어요 ^^
45,yo**님,2022년 9월 9일,5,5,5,맛있게 먹었습니다~!!!!!
