,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,se**님,3일 전,5,5,5,역시 7번가 피자답게 맛있네요 ㅎ 든든하게 먹었습니다 ㅎ
1,no**님,일주일 전,4,4,4,항상 잘 먹고 있습니다
2,ki**님,2022년 11월 8일,5,5,5,오늘도 빠른배달으로 긴 기다림없이 맛있게 잘 먹었습니다~! 짱 맛있어서 항상 여기서 피자시켜먹게되네요 서비스도 늘 감사해요ㅎㅎ
3,g5**님,2022년 10월 31일,5,5,5,피자 맛은 여기뿐 넘맛나용~
4,sk**님,2022년 10월 31일,4,4,2,일단 잘 먹었습니다 근데 단점 피자 다 식어서 와서 정말 맛있는지 모르겠네요
5,ki**님,2022년 10월 27일,5,5,5,고르곤졸라 간 대박이에요 짭짤고소 넘맛있움ㅠㅠㅠㅠ
6,im**님,2022년 10월 21일,5,5,5,때깔부터 좋아용~ 7번가는 언제나 극추임다 ㅎㅎ
7,ic**님,2022년 10월 18일,5,5,5,"맛있게 잘 먹었습니다.
서비스도 감사합니다."
8,ks**님,2022년 10월 10일,5,5,5,자주 시켜먹는데 항상 잘먹고 있습니다.
9,kw**님,2022년 10월 9일,5,5,5,"피자 맛있습니다 ^^
하지만 피자값이 너무 오른 것 같아요.. T.T"
10,gl**님,2022년 10월 9일,5,5,5,맛있어요 7번가피자 굳굳
11,   손님,2022년 10월 6일,5,5,5,피자는 7번가피쟈 ㅎ
12,mu**님,2022년 10월 4일,5,5,5,피자 잘 먹었습니다
13,pa**님,2022년 9월 23일,5,5,5,재료도 푸짐하고 맛도 좋아요. 감사합니다:)
14,um**님,2022년 9월 18일,5,5,5,"7번가는 배신하지 않습니다.
항상 맛나게 먹어요~~"
15,yo**님,2022년 9월 15일,5,5,5,배달 엄청 빨리 와서 놀랐어요! 사실 피자를 그렇게 좋아하는 편은 아니지만 가끔 땡겨서 시켰는데 너무 맛있어서 며칠째 생각나요... 그리고 버팔로윙 기대 진짜 없었는데 진심 맛있어서 조만간 또 시킬생각
16,ki**님,2022년 9월 15일,5,5,5,"다 먹고 나서도 배달예정 시간이 떠서 리뷰쓰는걸 잊을정도로 배달이 너무 빨리왔어요👍🏻
토핑도 푸짐하고 너무 맛있게 잘 먹었답니다 콜라도 큰걸 서비스로 주셔서 감동.. 맛있는피자집 알게되서 너무 좋아요🙆🏻‍♀️❤"
17,tn**님,2022년 9월 13일,5,5,5,배달도 빠르고 맛도 진짜 최고예요 피자는 7번가가 갑입니다!! 흥부박포테이토 최고 존엄입니다
18,eg**님,2022년 9월 10일,4,5,5,서비스도 주시고 ~맛있게잘먹었어요~
19,wo**님,2022년 9월 3일,5,5,5,맛있었어요°•○●□■♤♡♡◇°○○□■
20,je**님,2022년 8월 28일,5,5,5,배달 빠르고 맛도 있었어요
21,tj**님,2022년 8월 27일,5,5,5,배달도 빠르고 맛잇네요!
22,mi**님,2022년 8월 26일,5,5,5,"항상 맛있게 잘 먹고 있습니다.
초심을 잃지 않고 쭈욱 이번처럼 잘 만들어주시면
좋겠네요!"
23,si**님,2022년 8월 22일,5,5,5,두 번째 시켰는데 배달도 빠르고 맛있어요 다음에 또 주문해야겠어요
24,sk**님,2022년 8월 18일,5,5,5,매우맛었어요!!!!
25,di**님,2022년 8월 16일,5,5,5,마라맛 매콤하니 너무 잘먹었어요^^
26,sh**님,2022년 8월 15일,5,5,5,"첫주문인데 맛있게 잘먹었습니다 :)
 따뜻하게 배송해주셨고 식어도 촉촉하고 특히 치즈가 쫀득해서
좋았어요~!^^"
27,gi**님,2022년 8월 9일,5,5,5,맛있게 먹었습니다. ^~^
28,ol**님,2022년 8월 2일,5,5,5,"맛있게 잘먹었습니다 😋 



#식후감"
29,ek**님,2022년 7월 31일,5,5,5,짱 맛있어요 !!강강강 추 !!
30,da**님,2022년 7월 30일,5,5,5,맛있게 잘 먹었습니다
31,mi**님,2022년 7월 30일,5,5,5,"전 피자를 참 좋아합니다. 적어도 한달에 4번은 먹는 것 같습니다. 한국에는 참 많은 피자집이 있습니다 프렌차이즈 부터 개인이 하시는 곳까지.. 대부분의 프렌차이즈 지점에서 피자 종류 하나씩 다 먹어본 입장에서 말씀드리자면 7번가는 개인적으로 제일 맛있는 피자입니다. 재료를 풍성하게 넣고 곡물 도우 사용, 식감용 옥수수콘 안쓰는 점이 특히 좋습니다.  그런데 이 7번가 피자 중에서도 가산디지털단지점은 사장님의 마인드 자체가 국내 어느 피자점과도 비교할 수 없을 정도로 ""피자에 진심"" 이셨습니다. 시켜보시면 아실수 있을 것 같습니다."
32,je**님,2022년 7월 29일,5,5,5,맛있게 잘 먹었습니다
33,nj**님,2022년 7월 28일,5,5,5,늘 맛있게 잘먹었어요
34,dl**님,2022년 7월 28일,5,5,5,피자 너무 맛있어요 ㅎㅎ 배달도 짱 빠르고요
35,jk**님,2022년 7월 27일,5,5,5,"맛, 토핑 , 배달 다~ 좋았으나...
피자가 밑판하고 붙어서 띠면서 양념 떨어지는거 빼고 좋았어요"
36,so**님,2022년 7월 27일,5,5,5,배달도빠르고 맛있게 잘먹었어요
37,je**님,2022년 7월 27일,5,5,5,잘 먹었습니다 1인피자 맛있네요
38,jc**님,2022년 7월 26일,5,5,5,맛있게 잘먹었습니다 도우가 맛있어요
39,ha**님,2022년 7월 26일,5,5,5,잘먹었습니다~~^^
40,ba**님,2022년 7월 25일,5,5,5,사진을 깜빡하고 먹어버렸네요🥲 오랜만에 피자 먹는데 맛있는 집에서 잘 시킨 거 같아요 굿굿!! 가성비갑 너무 맛있어요 배달도 완전 빨라서 식지 않은 피자를 먹을 수 있었어용 다음에 또 시켜먹을게요~~콜라 서비스 감사합니다 ✌️
41,xu**님,2022년 7월 18일,5,5,5,배달 빠르고 좋아요
42,ki**님,2022년 7월 15일,5,5,5,맛있게 잘먹었습니다~~
43,tm**님,2022년 7월 5일,5,5,4,인생피자!̆̈ 넘 맛있었어요 ㅎᩚ
44,um**님,2022년 6월 26일,5,5,5,7번가 피자는 초고에요~
45,dl**님,2022년 6월 26일,4,5,5,항상 먹던거 말고 다른 메뉴 시켰는데 요건 소스맛이 세네여~단짠단짠 좋아하시면 굿!
46,eu**님,2022년 6월 23일,4,4,2,피클이 안왔어요 ㅠㅠ
47,da**님,2022년 6월 15일,5,5,5,맛있네요. 또 주문할게요
48,56**님,2022년 6월 13일,5,5,5,맛있어요 언제나~~~
49,bl**님,2022년 6월 11일,5,4,5,맛이 진해요. 재료를 아끼지 않고 팍팍 넣어주셔서 맛있게 잘먹었어요.한동안 고르곤졸라에 빠져서 요기서만 주문하다가 스테이크피자시켜봤는데 역시나 굿^^
50,ye**님,2022년 6월 10일,5,5,5,"둘이서 맛있게 먹었어요!! 최고!!!
패밀리 세트, 2~3인 가족이 먹을 정도의 양입니다!
오랜만에 7번가 먹는데 맛있어서 다음에 또 주문하려구용"
51,ji**님,2022년 6월 10일,3,3,3,맛이있어요 아주!!!
52,hu**님,2022년 6월 9일,5,5,5,"2조각씩 다른토핑으로 구성되어 있어요
총 4가지맛.
 맛있어요"
53,kw**님,2022년 6월 1일,5,5,5,맛있어요좋아좋아요좋아요
54,bl**님,2022년 5월 29일,5,4,5,고르곤졸라 많이 먹어 봤지만 정말 맛있어요. 특유의 치즈맛과 씬바사삭 도우는 정말 최고.
55,um**님,2022년 5월 28일,5,5,5,7번가는 진리 입니다.
56,su**님,2022년 5월 28일,5,5,5,리뷰로 보내주신 스파게티도 피자도 너무 맛잇엇어요!!
57,sh**님,2022년 5월 26일,5,5,5,"느끼한게 세상에서 제일 좋은전 크림파스타를 먹고 
온세상 황홀함을 다 느꼈습니다....."
58,bl**님,2022년 5월 25일,5,4,5,씬바사삭 도우바꿨는데 진짜 맛있어서 또 주문해요.
59,so**님,2022년 5월 23일,5,5,5,맛있네용 배달두 빠르고
60,   손님,2022년 5월 20일,5,5,5,리뷰가 늦었네요! 월요일에 생일이라 그동안 다이어트한다고 참아왔던 피자를 시켰었어요 정말 맛있게 먹었고 다음에 또 시킬게요!
61,su**님,2022년 5월 14일,2,2,4,"피자에 조미료 맛이 뭉쳐있고 도우가 너무 얇아서 젓가락으로 주워서 먹었음.
피자는 들고 먹어야되는데  실망"
62,pp**님,2022년 5월 12일,5,5,5,맛있어요요ㅛㅛㅛㅛ!!
63,wh**님,2022년 5월 12일,5,5,5,다양하게 맛볼수있어서 좋았어요
64,mr**님,2022년 5월 10일,5,5,5,너뮤맛있어요~~~~~
65,ja**님,2022년 5월 8일,5,5,5,맛나요~~~~~~~
66,ti**님,2022년 5월 4일,5,5,5,맛일게잘먹엇습니당ㅇ
67,wl**님,2022년 4월 27일,5,5,5,"요기요로는 잘 안 시켜먹다보니까 제가 리뷰이벤트 공간을 못 찾는 줄 알고, 요청사항에 리뷰이벤트 여쭤봤는데 그냥 없다고 해주셔도 되는데 콜라 하나 서비스 보내주셨더라구요 포스트잇을 늦게 확인했습니다 7번가피자는 처음 먹어보는데 너무 맛있게 잘 먹었습니다!"
68,cl**님,2022년 4월 25일,5,5,5,맛있게 잘 먹었습니다 ^^
69,a5**님,2022년 4월 24일,5,5,5,"맛있게 먹느라 사진 못찍었어요
최고 맛있고요
완전 친절하세요
사업 번창 하세요"
70,oh**님,2022년 4월 22일,5,5,5,잘먹었습니다 1인분피자생각보다맛나요
71,ah**님,2022년 4월 19일,5,5,5,맛있어요 다음에 또시켜먹을게요
72,0_**님,2022년 4월 19일,3,5,5,👍👍👍👍👍👍👍👍👍👍👍
