,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,ea**님,어제,5,5,5,"항상 먹는 피자예요
맛있습니다 ㅎ"
1,ki**님,어제,5,5,5,맛있게 잘 먹었습니다
2,hw**님,5일 전,5,5,5,다음에는 더 맛있게 치즈추가 해야겠어요. 그냥은 많이 모자란 느낌.
3,so**님,일주일 전,5,5,5,피자헛은 후회없는 선택입니다. 항상 맛있어요
4,sc**님,2022년 11월 8일,5,5,5,처음 시킨 메뉴인데 진찌 맛잇네여!
5,we**님,2022년 11월 6일,5,5,5,맛있게 잘 먹었습니다
6,64**님,2022년 11월 4일,5,5,5,good good good
7,my**님,2022년 11월 3일,5,5,5,빠르게 와서 잘 먹었어요
8,lj**님,2022년 11월 2일,5,5,5,처음시켜봤는데 맛있네요 ㅎㅎ
9,ry**님,2022년 11월 1일,5,5,5,씬피자 늘 잘먹고 있습니다 ㅎㅎ
10,pa**님,2022년 10월 31일,5,5,5,Such an amazing pizza!
11,da**님,2022년 10월 30일,5,5,5,너무 맛있었어요!!
12,bu**님,2022년 10월 29일,5,5,5,역시피자헛 맛있네요 ㅎㅎ
13,mi**님,2022년 10월 25일,5,5,5,"맛있어요~
역시 피자헛이네요"
14,su**님,2022년 10월 25일,4,4,4,피자헛 자주 먹어요 ㅎ 맛있어요
15,re**님,2022년 10월 23일,5,5,5,항상 맛있고 친절한 곳 추천합니다!!!!
16,yo**님,2022년 10월 16일,5,5,5,토핑도 엄청많고 맛있습니다!
17,ru**님,2022년 10월 11일,5,5,5,역시 기본이 최고여
18,ss**님,2022년 10월 10일,5,5,5,맛있게 잘 먹었어요 ~~
19,gj**님,2022년 10월 10일,5,5,5,잘먹었습니다 항상 잘먹고있어요
20,so**님,2022년 10월 9일,5,5,5,피자는 역시 피자헛 클래식입니다.
21,pa**님,2022년 10월 9일,5,5,5,Such an amaxing pizza!
22,ac**님,2022년 10월 7일,5,5,5,맛있게잘먹었어요
23,sc**님,2022년 10월 6일,5,5,5,금방 와서 넘 따뜻하고 맛잇네여! 한조각부터 흡입하고 남겨요! !!
24,nk**님,2022년 10월 3일,5,5,5,배달빠르고 따뜻하고 너무 맛있어요~!!
25,sh**님,2022년 10월 2일,5,5,5,먀있어용~~~~~^^
26,su**님,2022년 9월 30일,4,5,5,바삭하고 맛있어서 자주 먹어요 ㅎ
27,so**님,2022년 9월 29일,5,5,5,클래식한 피자 먹고 싶을 때는 무저거 피자헛이죠👍👍
28,sh**님,2022년 9월 27일,5,5,5,맛있게 잘 먹었습니다
29,ga**님,2022년 9월 26일,5,5,5,맛있게 잘먹었습니다
30,oh**님,2022년 9월 19일,5,5,5,"배달도빠르고맛있엉요
#식후감"
31,ca**님,2022년 9월 17일,5,5,5,맛있게 먹었어요 또시킬겡6
32,so**님,2022년 9월 17일,5,5,5,역시 피자헛피자입니다!!
33,ad**님,2022년 9월 17일,5,5,5,"피자의 정석, 톱 클래스 브랜드"
34,pu**님,2022년 9월 16일,5,5,5,피자 끝부분은 대부분 맛이 없는데 피자헛은 그 부분 빵이 너무 맛있어요 잘 먹었습니다
35,kh**님,2022년 9월 15일,5,5,5,팬 피자가 맛있어요
36,hp**님,2022년 9월 15일,5,5,5,신메뉴 맛있어요~~~~
37,ra**님,2022년 9월 13일,5,5,5,빠르고 맛있었습니다!!👍👍👍👍👍
38,qh**님,2022년 9월 11일,5,5,5,맛있다 냠냠냠냠냠냠
39,so**님,2022년 9월 8일,5,5,5,정말 클래식한 피자 먹고싶을 때는 무조건 피자헛입니다..
40,ku**님,2022년 8월 31일,5,4,3,맛 좋았음 . 항상 먹는 아이템. 가격 다운 필요.
41,sh**님,2022년 8월 30일,5,5,5,새우가 아주 오동통~~~!!
42,on**님,2022년 8월 28일,5,5,5,맛있게 잘 먹었습니다
43,po**님,2022년 8월 27일,5,5,5,맛있게 잘먹었어요ㅎㅎ
44,kh**님,2022년 8월 26일,5,5,5,맛있게 잘 먹었습니다!!
45,sh**님,2022년 8월 23일,5,5,5,"피자헛 진짜 오랜만인데 진짜 맛있어요~고퀄
특히 비교해봐도 치즈크러스트는 여기가 진리ㅎㅎ"
46,s2**님,2022년 8월 19일,5,5,5,맛있게 잘 먹었어요~
47,im**님,2022년 8월 15일,3,3,3,배송빨라서 너무 좋았구요..도우맛은 밀가루맛이 진했어요ㅠ
48,gd**님,2022년 8월 15일,5,5,5,영도 적당해서 맛있습니다
49,su**님,2022년 8월 15일,5,5,5,피자헛 맛있어요..
50,re**님,2022년 8월 14일,5,5,5,맛있어요 팬피자~~
51,as**님,2022년 8월 14일,5,5,5,"고소하고 맛있어요~
맛도 배달도 좋아요.  추천합니다!"
52,dh**님,2022년 8월 13일,5,5,5,맛있게 먹었습니다
53,gi**님,2022년 8월 13일,5,5,5,맛있게 잘 먹었습니다.
54,ev**님,2022년 8월 12일,5,5,5,맛있게 잘 먹었습니다~~
55,so**님,2022년 8월 12일,5,5,5,역시 맛있습니다.
56,kw**님,2022년 8월 8일,5,5,5,치즈사리 추가했다가 까먹고 아무 배상도없는듣보잡 개인운영 가게랑 차원이 다르네요. 이제는 듣보잡들도 가격올려데서 피자헛 같은 체인점에서 시켜먹어야겠어요. 배달도 빠르고 요청사항 빠닥빠닥 듣고.
57,yo**님,2022년 8월 5일,5,5,5,맛있음 배달빠름 맛있음
58,ha**님,2022년 8월 3일,5,5,5,스파게티소스에 미트도 많이 들었고 피자토핑도 실하고 맛있었어요 배달도 30분만에 와서 따뜻하게 잘 먹었습니다!
59,gi**님,2022년 8월 1일,5,5,5,맛있게 잘 먹었습니다~
60,gi**님,2022년 8월 1일,5,5,5,맛있게 잘 먹었습니다~
61,gi**님,2022년 8월 1일,5,5,5,맛있게 잘 먹었습니다~
62,fe**님,2022년 7월 30일,5,5,5,"가성비 최고 메가더블
잘먹었습니다"
63,ro**님,2022년 7월 29일,5,5,5,맛있게 잘먹었습니당
64,su**님,2022년 7월 29일,5,5,5,페페로니 넘 좋아해요 맛있어요 늘 두개쌕ㅎ
65,ra**님,2022년 7월 28일,5,4,5,음식이 정갈하고 맛있어요
