,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,gi**님,12시간 전,5,5,5,맛있고 좋아요 자주 먹겠다
1,sh**님,15시간 전,5,5,5,"한달에 한번, 메뉴도장깨기중이에요!
-
새우도 실하게 들어있고 맛있어요
근데 스파게티...다 먹어 갈 때쯤..머리카락이....😳 

저도 긴편인데, 전 먹을때 집게핀으로 찝고 먹는지라..
제건 아니였구요, 저보다도 긴머리여서 당황했는데
맛있어서 그냥 먹었어요. 만드시는분 조심해달라고 해주세요"
2,si**님,20시간 전,5,5,5,맛있어요 추천해요.
3,s2**님,어제,5,4,5,"맛있었습니다,,,,, 크러스트치즈 더 듬뿍넣어줬으면 하는 작은 소망,,,"
4,ge**님,2일 전,5,4,5,맛나유유유유유유유유
5,ji**님,2일 전,5,5,5,너무 맛있어용ㅎㅎㅎ
6,vi**님,2일 전,5,5,5,"감사히
잘먹고 있어요"
7,sh**님,2일 전,5,5,5,피자먹고싶을때 무조건 여기서먹어요
8,ge**님,2일 전,5,5,5,2111111111
9,ls**님,2일 전,5,5,5,배달빨리오고 맛있음 개인적으로 쉬림프가 더 맛있슴니다
10,my**님,2일 전,5,5,5,"첫 주문인데, 맛있게 잘 먹었어요"
11,ii**님,2일 전,5,5,5,"어제 주문했어용!!
맛있게 잘먹었습니당ヽ(´▽`)/"
12,kb**님,2일 전,5,5,5,맛잇게 잘먹었습니당
13,dt**님,3일 전,5,5,5,오랜만에 피자 맛있게 잘 먹었습니다
14,yh**님,3일 전,5,5,5,잘 먹었습니다!! 할라피뇨가 조금 짭잘하긴 했지만 맛있었습니당.
15,he**님,3일 전,5,5,5,베스트 메뉴 진짜감자피자 맛있어요!!!!
16,tm**님,3일 전,5,5,5,"맛있게 잘 먹었습니다 불고기피자 맛있어요
다음엔 페퍼로니 먹어보고 싶어요"
17,tl**님,3일 전,5,5,5,너무 맛있게 잘 먹었어요
18,ko**님,3일 전,-,-,-,온제나마싯눈청년피자
19,a0**님,3일 전,5,5,5,너무 맛있게 먹었습니다. 서비스로 주신 미트소스스파게티도 잘 먹었습니다. 번창하세요 ^^
20,cy**님,3일 전,5,5,5,넘 맛있게 먹었어요 너겟도 엄청 바삭해서 맛있었습니다~
21,ar**님,3일 전,5,5,5,항상   맛있게 먹어요   일주일에  한번씩   시켜먹네요
22,he**님,3일 전,5,5,5,"맛있습니다. 양도 많고요
사장님이 직접 배달해주셨네요ㅋ"
23,li**님,3일 전,5,5,5,배달도  빠르고  맛있습니다_!!
24,dl**님,3일 전,5,5,5,"처음 먹어보는데 짱 맛있습니다
잘먹었어요"
