,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,rk**님,4시간 전,5,5,5,너무 맛있게먹었어요
1,mo**님,4시간 전,5,5,5,맛있고양많아요!!!
2,da**님,어제,5,5,5,"주말아침 맛있게 잘 먹었습니다
집에있는 김치찌개랑 먹었어요"
3,pe**님,2일 전,5,5,5,아들이 맛나다고 하네요..잘 먹었습니다
4,ho**님,2일 전,5,5,5,양많고 맛또한 최고입니다
5,ch**님,2일 전,5,5,5,항정도시락 짱!입니다~!
6,kd**님,3일 전,5,5,5,잘먹었습니다.
7,go**님,4일 전,5,5,5,맛있게 잘 먹었습니다
8,sn**님,4일 전,5,5,5,기본찬없이 먹자면 제입장에선 쪼금 짭쪼롬해요~ 그래도 채소 좀 곁들여먹으면 좋음!
9,ap**님,4일 전,3,5,4,구성품이 가끔 빠져요. 그래도 배달 빠르고 맛남
10,ch**님,4일 전,5,5,5,늘 맛있네요~!!! 양도 푸짐해서 든든합니다~^^
11,a9**님,5일 전,5,5,5,양도 많구 맛있었습니당
12,a9**님,5일 전,5,5,5,"늦은 시간이라 배달까지 조용하게 해주셔서 너무 만족했습니당,,! 맛있었어용"
13,ni**님,6일 전,5,5,5,"냉면이 급땡겨서 주문해서 먹었는데 맛있어요~
혼밥대왕에서 비빔밥이나 찌개만 먹었었는데 냉면맛집이네요:)
사진은 먹기전에 깜빡하고 중간에 찍었네요ㅋㅋ
다음에 또 먹을게요!"
14,hl**님,일주일 전,5,5,5,넘 배고파서 사진없이 리뷸 남겨드립니다.넘 맛있게 잘먹었어요
15,gh**님,2022년 11월 8일,5,5,5,야식으로 가볍게 먹기 좋아요 계란프라이는 차갑게 식어서 오던데 장국이 낫네용
16,wi**님,2022년 11월 8일,5,5,5,맛있습니다. 잘먹었습니다.
17,kh**님,2022년 11월 6일,5,5,5,"처음 시켜봤는데 맛있네요
에정시간보다 빨리와서 더 좋았어요
깔끔하고 간도 적당하니 좋아요~"
18,me**님,2022년 11월 6일,5,5,5,"저번주에 물냉면에 반해서 이번엔 비빔밥을~~  ㅎㅎ  된장찌개도 그렇고  맛있어요~ 주말마다 찾을것 같습니다. ^^
👍 👍 👍 👍 👍"
19,rl**님,2022년 11월 6일,4,2,4,맛은 맛있어서 자주 시켰먹었는데 정식인데 단품으로 왔네요...
20,km**님,2022년 11월 5일,5,5,5,재주문~ 넘 맛잇어요~~
21,lh**님,2022년 11월 5일,5,5,5,한국 입국해서 칼칼한게 땡겼는데 너무 맛잇고 칼칼해서 좋았어요!
22,ch**님,2022년 11월 5일,5,5,5,"푸짐하고, 맛있네요~만족합니다~!!!"
23,km**님,2022년 11월 4일,5,5,5,맛도 좋고 양도 많고 좋네요!
24,dn**님,2022년 11월 3일,5,5,5,예상배달보다 빠르게왔어요~
25,fl**님,2022년 11월 3일,5,5,5,이번에도 잘먹었습니다
26,ea**님,2022년 11월 2일,5,5,5,양도 많고 맛잇게 잘 먹었습니다.
27,gh**님,2022년 11월 2일,5,5,5,양도 꽤 많고 괜찮았어요!
