,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,ne**님,4시간 전,3,5,5,"배달 빨리오고 양도 푸짐함니다.
오늘 배달음식 청국장,복음밥 너무 짜요. 
저번에는 맛있게 먹었는데.. 오늘은 그렇네요"
1,zx**님,2022년 11월 7일,5,5,5,맛있어요~~~~~~
2,su**님,2022년 11월 6일,5,5,5,맛있어요!!!!!!
3,s2**님,2022년 11월 6일,4,5,5,"김밥맛있었습니다
양이 많아서 가성비조아요"
4,aa**님,2022년 11월 4일,5,5,5,☆☆☆☆☆
5,aa**님,2022년 11월 4일,5,5,5,☆☆☆☆☆
6,ys**님,2022년 10월 30일,5,5,5,배송도 빨리 온 편이고 음식도 맛있게 잘 먹었는데 메뉴가 잘 못 왔어요. 참치찌개 주문했는데 김치찌개가 왔네요. 서비스로 주신 요구르트 잘 먹었습니다.
7,hk**님,2022년 10월 28일,4,4,4,"잘먹었습니다
라볶이에 직접 치즈 올려서 먹었어요ㅋㅋ"
8,aa**님,2022년 10월 28일,5,5,4,떡만두국에 만두가 없음..ㅠ
9,pd**님,2022년 10월 26일,5,5,5,양도많고 맛있습니다 자주먹어요 잘먹었어요~
10,ne**님,2022년 10월 26일,4,5,5,"배달 빠릅니다. 양도 많아서 조금 남겼네요.
배부르게 먹기에 좋습니다"
11,ys**님,2022년 10월 25일,4,4,4,"콩비지, 청국장 다 맛있네요."
12,ma**님,2022년 10월 23일,1,1,1,라볶이는 싱겁고 새우볶음밥은 중간중간 엄청짜고 어떤곳은 간도 안배고 순두부는 얼큰하게 해달라했는데 전혀 얼큰하지도 않았어요 게다가 순두부찌개를 시켰는데 밥도 안오고 두번다시 안시켜 먹을것 같네요
13,fa**님,2022년 10월 22일,5,5,5,"먹다가 생각나서 찍었어요 

맛있게 잘 먹었습니다"
14,tu**님,2022년 10월 22일,5,5,5,양이 많고 맛있어요
15,a0**님,2022년 10월 19일,5,5,5,잘먹었어요~감사쌉니다
16,tk**님,2022년 10월 18일,5,5,5,맛있게 잘 먹었습니다
17,a0**님,2022년 10월 16일,5,5,5,잘먹었습니다~★★★★★
18,js**님,2022년 10월 11일,1,1,1,맛이없네요 가까울수록더맛있어야될텐데
