,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,mo**님,16시간 전,5,5,5,양도 많고 맛있어요!! 잘 먹었습니다
1,dw**님,어제,5,5,5,최고에요 맛있어요 기가막혀요
2,pa**님,2일 전,5,5,5,"항상 맛있게 먹고있어요.
다른 메뉴를 먹어보도 싶지만 아들이 김치찜만을 고집해서 ㅎㅎ
다음번엔 다른메뉴도 먹어보고 싶네요~~"
3,o2**님,2일 전,5,5,5,"아아주 맛있음!!
양 진짜 많음!!!"
4,ty**님,3일 전,5,5,5,"장군집 김치찜 맛있고 푸짐한 것 모르는 사람 없죠?

맛있게 먹었습니다 ~!"
5,cj**님,4일 전,5,5,5,양이 많고 맛있어요
6,7b**님,4일 전,5,5,5,양념이 달짝 짭조름하고 맛있어요! 갈비만두도 좋은데 계란말이가 진짜 두툼하고 야채도 많이 들어서 좋았습니다!!!
7,up**님,4일 전,5,5,5,두번째인데 맛있어요
8,ki**님,4일 전,5,5,5,"맛있게 잘 먹었습니다!
배달이 약간 늦긴 했지만 비가 오기도 했고 안내 쪽지도 넣어주셔서 충분히 이해됐습니다.
포장도 비닐로 3중이나 잘 해주셨고요.
고기는 부드럽고 당면과 떡은 쫀득해서 식감이랑 맛 둘 다 좋았습니다.
기본 밥도 생각보다 양이 많아 한 공기로 충분했고, 갈비만두도 만족스러운 맛과 양이였습니다.
2인으로 먹기 딱 좋은 식사였네요.
다음에도 또 생각나면 주문하겠습니다!"
9,so**님,6일 전,5,5,5,맛있어서 정신없이 먹다보니 사진을 못 찍었네요ㅜ 양도 진짜 많고 너무 맛있어요~
10,pe**님,2022년 11월 7일,5,5,5,"재료도 좋아보이고
고기가많아서 좋음
양도많고 맛도좋음"
11,al**님,2022년 11월 7일,5,5,5,좋아요 추천합니다 ㅎ
12,un**님,2022년 11월 6일,5,5,5,"이집 진짜 대박인듯 왕계란말이 열어보고 놀라고 소자시꼈는데 닭도리탕양보고 놀라고 사장님이 대륙스케일인듯
맛 양 다 만족하는데
배달기사님의 따뜻한 메세지까지 이야 여긴 그냥 안먹으면 후회하는 집
내 최애집 저장이요
진짜 진짜 강추요 왜 타이틀을 맛없으면 환불해준다고 당당하게 걸었는지 깨닫게 만드는 자신감 찬 대박 맛집이었던듯"
13,yo**님,2022년 11월 6일,5,5,5,맛잇게 먹었습니다~!!!!!
14,c0**님,2022년 11월 3일,5,5,5,짱군님! 맛도 짱! 양도 짱! 서비스도 짱! 감사해서 몸둘바를 모르겠네요. ㅜㅜ 감동의 눈물. 감사합니다.
15,pa**님,2022년 11월 3일,5,5,5,맛있어요—————-
16,dd**님,2022년 11월 3일,5,5,5,정말 맛있습니다!!
17,sp**님,2022년 11월 3일,5,5,5,언제나 맛있는 맛환장 ㅎㅎㅎ
18,lo**님,2022년 11월 2일,4,5,5,양도 많고 맛있음 그런데 다른지점보다 마늘이 좀 많이 들어 간 느낌이고 소세지 추가는 다른지점은 비엔나로 주던데 여긴 그냥 일반 소세지 잘라서 주시네용 그렇지만 맛있게 먹었습니다. 고기도 부드럽고 매운 갈비는 장군집이 짱
19,c0**님,2022년 11월 1일,5,5,5,"줄수있는게 이것밖에 없다~~
쓸수있는게 맛있다 밖에 없다~~"
20,ki**님,2022년 11월 1일,5,5,5,너무 맛있어요 양도  많고요적극추천합니다 👍
21,45**님,2022년 10월 31일,5,5,5,"어머님 아버님과 함께 먹었는데 두분다 너무 좋아 하시네요^^
양도 넉넉하고 맛도 최고입니다^^"
22,db**님,2022년 10월 30일,5,5,5,"우와..소자인데요
양이 많이요..
역시...매번 김치찜만 시켜먹었는데
먹음직스럽습니다~^^
감사합니다"
23,sc**님,2022년 10월 30일,5,5,5,맛있게 잘 먹었습니다
24,pa**님,2022년 10월 30일,5,5,5,"정말 맛있어요.  온가족이 잘 먹었습니다. 양도 정말 푸짐해서 내일 먹을려고 좀 덜어놨네요.
환불을 자신있게 말씀하실만 하세요.  다음에 또 주문할게요~"
25,58**님,2022년 10월 30일,5,5,5,"김치찜은 여기서 밖에 못시켜먹는 사람이된 나…
양도 맛도 너무 맛있고 좋아요!!"
26,mi**님,2022년 10월 30일,5,5,5,"솔직히 말씀드려, 양이좀 많네요.. 다음엔 욕심부리지 않고 하나만 시키겠습니다. 너무나도 맛있게 먹었고, 또 시킬게요~!"
27,sn**님,2022년 10월 30일,5,5,5,맛있습니다 자주 시켜먹게됩니다
28,bv**님,2022년 10월 29일,5,5,5,굿굿 맛있습니다 굿굿
