,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,wo**님,1시간 전,5,5,5,주먹밥은 안주시긴했지만 맛있었으니 괜찮습니다
1,af**님,1시간 전,3,4,1,"와 배달이 1시간 20분이나 걸리네요… 김치 양은 많은데 좀 기름지고 반찬도 김치라, 반찬은 다른거 주심 좋겠네요.."
2,o_**님,19시간 전,5,5,5,"언제나 믿고 먹는 맛집
김할매김치찜 !!!!!!!!!!
말해뭐해 걍 최고."
3,jk**님,어제,5,5,5,맛있게 잘 먹었습니다
4,so**님,2일 전,5,5,5,양도많고 4일은먹은거같아요...ㅋㅋㅋㅋㅋㅋ 혼자먹으니뭐 ㅋㅋㅋㅋㅋ 정말 좋은식사엿다....🥰맛잇어요 ㅠㅠ술안주로도 최고 ㅜㅠ
5,jo**님,2일 전,5,4,5,너무 맛있었어요 고기 좋아하시는 분들은 추가해 드시길
6,hw**님,2일 전,3,3,4,생각보다 김치찌개 느낌이고 고기가 별로 없었어요~
7,zi**님,3일 전,5,5,5,맛잇어용 잘 먹었어용 👍👍👍👍👍👍👍
8,so**님,3일 전,5,5,5,항상 맛있게 잘 먹고 있어요 다음에 또 시킬께요 ~^^
9,wr**님,3일 전,5,5,5,너무 맛있어요 ~ 자주 주문할께요^^
10,wi**님,3일 전,5,5,5,갑자기 김치찜을 너무 먹고 싶어서 주문했어요. 역시 여기 김치맛집이예요 ~~ 김치 너무 맛있고 고기 너무 부드러운요 ~ 맛있게 먹었습니다 ^^
11,ae**님,3일 전,5,5,5,꽁치가 더 많았으면 좋겠지만... 맛있었어요
12,ju**님,3일 전,4,4,4,0 ㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ
13,zn**님,4일 전,5,5,5,오랜만에 시켜도 맛있네요 잘먹었습니다
14,ma**님,4일 전,5,4,5,"김치 양이 많아 반은 덜어서 냉동해놓고 반만 먹습니다
리뷰 쓴다고 하니 주먹밥 주셨네요 
감사히 잘 먹었습니다
여전히 맛있습니다
근데 고기 양이 현저히 줄어든 느낌입니다
하지만 이것은 물가가 너무 올라서 어쩔수 없는 것입니다
식당하시는 분도 먹고는 살아야줘
저는 다담주에 또 시킬 예정입니다"
15,sh**님,6일 전,5,4,5,"맛있게 잘 먹었습니다만 다른 리뷰들 처럼
김치찜 구성 비율이 김치8에 고기2정도 밖에 안되어서 좀 아쉬웠습니다
물론 다음날 개인적으로 고기 등 사리 사서 때려넣은 뒤 끓여서 먹으니 기가 막히더라구요"
16,sk**님,6일 전,5,5,5,사장님 저는 묵은지 감자탕을 시켯는데 이건 절대 김치가 아니고 그냥 배추를 넣으신거같네요
17,se**님,6일 전,5,5,5,"어으 여기 진짜 양도 혜자고 맛도리 ㅠㅠㅠ 
다음에 또 먹을거예요 !!"
18,rl**님,6일 전,5,5,5,요청사항도 잘 들어주시고 배달 빠르고 무엇보다 이 근방 김치찜중에 제일 맛있습니다 진짜 묵은지에요 항상 잘 먹고 있습니다
19,ur**님,일주일 전,5,5,5,맛있어요 시켜서 드세요 후회없음
20,mi**님,일주일 전,5,5,5,배달도 엄청 빠르고 맛있어요 양도 완전 많음♥️ 맛있게 잘 먹었습니다~~
21,st**님,2022년 11월 8일,5,5,5,최고에요 너무 맛있어요
22,rl**님,2022년 11월 7일,5,5,5,맛있어욯ㅎ!!!!!!
23,ga**님,2022년 11월 7일,4,5,5,"배달은 생각보다 빨리왔어요 양은 넉넉하고 맛은 나쁘진 않지만 그냥
배달음식 맛이에요.잘먹었습니다."
24,ca**님,2022년 11월 7일,5,5,5,잘 먹었습니다
25,wn**님,2022년 11월 6일,5,5,5,맛있어요 자주시켜먹을게요
26,mo**님,2022년 11월 6일,5,5,5,"죄송해오. 받자마자 맛나게 다먹다보니ㅠㅠ 
넘 잘먹었습니다"
27,ry**님,2022년 11월 6일,5,5,5,"김치찜은 항상 여기서 먹어요.
오늘 점심엔 밥 저녁엔 소주랑 너무 맛있게 잘 먹었습니다."
28,3e**님,2022년 11월 5일,5,5,5,정말 맛있습니다 잘먹었습니다
29,ye**님,2022년 11월 5일,5,5,5,"꾸준히 찾게되네요 묵은지 보들보들
아주 맛있어요"
30,so**님,2022년 11월 4일,5,5,5,항상 맛있게 잘 먹고 있어요 다음에 또 시킬께요 ~^^
31,ae**님,2022년 11월 4일,5,5,5,사실 꽁치를 시킬려다가 갈치로 잘못눌럿는데 갈치가 생각보다 많이 들어가서 깜짝놀랐어요 딱히 후회되지 않을 만큼 맛잇었어요
32,dl**님,2022년 11월 4일,5,5,5,김치찜이 정말 맛있습니다 주먹밥 서비스도 감사해요 금방 배가 불러 양껏 먹고 냉장고에 두었어요 남김없이 나눠서 잘먹겠습니다^^
33,ha**님,2022년 11월 4일,5,5,5,종종 주문해서 먹어요 맛있어요 ~ 양도 많아용
34,lk**님,2022년 11월 3일,4,5,1,배달 1시간 20분이 걸리네요 이정도 시간은 처음입니다
35,ss**님,2022년 11월 2일,5,5,5,고기 추가 안한게 한이에요 ㅜㅠ
36,bi**님,2022년 11월 2일,5,5,5,맛있어요  굿굿굿굿굿
37,kp**님,2022년 11월 2일,5,5,5,"첫주문이예요~너무 맛있네요~양도 많고~푸짐하고~
자주 시킬것 같아요~"
38,   손님,2022년 11월 2일,3,5,5,무엇보다 배달이 빨라서 좋았습니다
39,kt**님,2022년 11월 2일,5,5,5,김치찜 처음 먹었는데 너무 맛있어요
40,yl**님,2022년 11월 1일,5,5,5,맛있네요 잘먹었습니다
41,d2**님,2022년 10월 31일,5,5,5,밥을  따로 시키지 않아 고생좀...
42,po**님,2022년 10월 31일,5,5,5,잘 먹었는데  김치찜에서 약간 쿰쿰한 냄새가 나네요
43,ye**님,2022년 10월 31일,5,5,5,김치찜맛있어요 양도 많고! 리뷰이벤트 한다고 적었었는데 따로 오지않았어요ㅠㅠ 하지만 배달도 빠르고 맛있네요
44,sa**님,2022년 10월 30일,5,5,5,김치찜 최고입니다.
45,st**님,2022년 10월 30일,5,5,5,까아아아악~~~까아아아악~~~~
46,he**님,2022년 10월 30일,5,5,5,맛있고 양개많아서 여러번 나눠먹었어요
47,al**님,2022년 10월 30일,5,5,5,넘 맛있게먹었습니당
48,op**님,2022년 10월 30일,5,5,5,너무밋있게 잘먹었어요
49,mo**님,2022년 10월 29일,5,5,5,처음에 시켰을땐 개인적으로 좀 매웠는데 그제 온건 맵지안아서 맛있게 잘먹었습니다ᆢ
50,th**님,2022년 10월 28일,3,5,5,양은 많고 배달 빨라요
51,le**님,2022년 10월 27일,5,5,5,ㅡ단골단골  생개보다 일찍오심 잘먹겠습니다
52,rf**님,2022년 10월 27일,5,5,5,맛있게 잘 먹었습니다~
53,w8**님,2022년 10월 26일,5,5,5,"가게까지 거리가 먼 줄 모르고 시켰는데.. (약 3km)
끝까지 배달해주시더라구요.. 오히려 늦게 드려서 죄송하다는 모습이 얼굴도 못들고..
국물도 깊고 맛도 좋은 친절한 식당입니다 ( 배달원 분 죄송해요 ㅠㅠ)
건더기만 찍었는데도 완전 푸짐함!!!"
54,kb**님,2022년 10월 26일,4,5,1,"배달 1시간반걸린거빼고는
다 괞찮았어요
양도많고
냉면도 맛있고
잘 먹었습니다~"
55,ma**님,2022년 10월 25일,5,5,5,"그냥 시켜드세요
처음에는 좀 싱거운듯 했으나
그건 제가 짠 식습관 때문인듯합니다
김치양 많고 고기양 많아요
무엇보다도 제가 고기가 오래되면 바로 알아버리는 개코인데.. 고기 조차도 신선하네요
혼밥을 하는 1인이라 아직도 많이 남았어요
삼일째 먹고 있네요
다음에 또 시켜 먹을 예정입니다
이곳에서 배달을 주저하지 마세요
그냥 시키시면 후회없습니다"
56,zx**님,2022년 10월 25일,5,5,5,양도 많고 맛있어서 잘 먹었습니다
57,zx**님,2022년 10월 24일,5,5,5,"양이 엄청 많아요!! 둘이서 배터지게 먹고도 남았어요
김치도 제대로 익어서 입맛에 딱입니다 굿굿"
58,ca**님,2022년 10월 24일,5,5,5,양도많고 엄청 맛있어요 또 시킬게요 감사합니다
59,dm**님,2022년 10월 24일,5,5,5,배달도 아주빨랏어요 맛도 좋았고요 주먹밥 잘먹을게여
