,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,do**님,17시간 전,5,5,5,거의 자정에 시켰는데도 빠른 배송 맛난 음식 감사하네요
1,pa**님,어제,5,5,5,맛나게 잘먹었습니다!
2,ba**님,어제,1,1,1,주문하면 1시간 걸림 별로
3,fe**님,어제,5,5,5,광명넘어 이동네 까지 배달해주셔서 항상 감사합니다.^^
4,sm**님,어제,5,5,5,오늘도 맛 있게 잘 먹었습니다.
5,ju**님,어제,5,5,5,감사합니다사장님 또 주문할게요!!
6,ta**님,어제,5,5,5,첫주문이었는데 맛있게 잘먹었습니다.
7,ju**님,어제,5,5,5,새벽에 잘 먹었습니다~
8,ba**님,2일 전,1,1,1,맛은 괜찮은데 주문하면 1시간 걸려요
9,eb**님,3일 전,-,-,-,"맛있습니다
언제나 감사드립니다"
10,jp**님,3일 전,5,5,5,맛있게잘먹었습니다 ㅎ
11,eb**님,5일 전,-,-,-,"잘먹었습니다
항상 맛있습니다"
12,ah**님,5일 전,4,4,1,배달이 83분 걸렷습니다 배달이 매우매우 느려요
13,sk**님,6일 전,5,5,5,양많고 맛잇어요! 야식으로 이만한게 없죠
14,sf**님,일주일 전,5,5,5,잘 먹었습니다 ~~~~
15,eb**님,2022년 11월 8일,-,-,-,"잘먹었습니다
항상 맛있고 친절하십니다"
16,dy**님,2022년 11월 7일,4,5,3,늘 양도많이주시고 맛있어서 분식 생각날때 시켜먹는데 음식 개봉하고 덜자마자 머리카락이 얹어있어서  오늘 위생적인 부분은 좀 아쉽습니다.. 개선되서 더욱 번창하셨으면 해서 사진 첨부드려요ㅜㅜ
17,wo**님,2022년 11월 7일,5,5,5,👍👍👍👍👍👍👍👍👍👍👍👍
18,14**님,2022년 11월 6일,5,5,5,너무 맛있어요 또 시킬게요
19,jk**님,2022년 11월 5일,5,5,5,👍 👍 👍 👍 👍 👍 👍 👍 👍
20,wo**님,2022년 11월 5일,5,4,5,늦은 새벽에 맛있게 잘 먹었습니다.
21,kh**님,2022년 11월 5일,5,5,5,배달도 빨리오고 맛있고 양도 많아서 너무 좋았어요!
22,eb**님,2022년 11월 5일,-,-,-,"항상 맛있어요
잘먹었습니다"
23,sm**님,2022년 11월 4일,5,5,2,배달이 좀 많이 늦어서 짜증이 났었는데 그걸 잊을 정도로 맛 있었어요.
24,na**님,2022년 11월 4일,5,5,5,"맛있습니다.
또 주문할게요."
25,js**님,2022년 11월 3일,2,4,5,"꼬마김밥은 맛은 있는데  좀 짜요.
야채김밥은 집에서  먹는것처럼  맛있었어요.
우동은 국물. 오뎅 다 맛있었구요.
문제는  떡볶이   일반적인 떡볶이가 아니더라구요. 왜 후추향을 이렇게 강하게 했는지 이해가 안갔어요. 개인적으로 후추좋아해서 음식에 자주넣어 먹지만 오늘 같은경우는 아닌듯 합니다."
26,go**님,2022년 11월 3일,5,5,5,맛있엇오여ㅕㅕ3456
27,by**님,2022년 11월 3일,5,5,5,"다 맛있어요
오뎅국은 진짜 왜이렇게 맛있는지 24시간 퍼먹고싶네요
땡초김밥은 진짜 매우니 참고하세요
스팸김밥 떡볶이 국물에 찍어먹으니 더 맛있어요"
28,sm**님,2022년 11월 2일,5,5,5,배달빨라요 맛있어요
29,gr**님,2022년 11월 1일,5,5,5,맛있게잘먹엏습니딘^^여기는 새벽늦게까지 장사해서 너무 좋아요ㅠ
30,he**님,2022년 10월 31일,5,5,5,"순대 너무 맛있어요 ~ 내장도 신선하고 
오징어튀김 따로시키니까 더많이 주신거 같아요 
늦은시간인데도 깨끗한 기름쓰시는지  
색이 깨끗해요"
31,eb**님,2022년 10월 31일,-,-,-,"크으 맛있었습니다
잘먹었어요"
32,eb**님,2022년 10월 31일,-,-,-,"항상맛있습니다
잘먹었습니다"
33,mi**님,2022년 10월 30일,5,5,5,요청사항을 안보시네요ㅜ
34,ed**님,2022년 10월 30일,5,5,5,오뎅이 진짜 맛있어요
35,ur**님,2022년 10월 29일,5,5,3,"배달이 조금 오래걸렸는데,, 맛있게 잘 먹었어요 !"
36,me**님,2022년 10월 28일,4,3,5,"하필 엘리베이터가 고장나 배달 하시는 분이 12층 까지 걸어 오신다고 너무 고생 하셨어요
배달 해주신분 너무 감사합니다"
37,wo**님,2022년 10월 28일,5,5,5,오랜만에 정말 맛있는 떡볶이와 김밥 먹어서 좋아욤
38,po**님,2022년 10월 28일,1,3,2,오늘 최악의 떡복이와 김밥을 맞봤다 첫 주문 한곳도 아닌데 떡복이 김밥이 시킬때 마다 맞 차이가 이정도면 심각한건데 뭐지 ?!?!
39,jm**님,2022년 10월 28일,5,5,5,항상 맛있어요.자주시켜먹는곳
40,dl**님,2022년 10월 27일,5,5,5,자주시켜먹어요맛나요배달도빠르고요
41,11**님,2022년 10월 26일,5,5,5,"만두, 김밥 늦은시간 야식으로 맛있게 먹었습니다."
42,11**님,2022년 10월 26일,5,5,5,맛있게 잘먹었습니다.
43,db**님,2022년 10월 25일,5,5,5,배달빠르고 가성비갑임
44,wj**님,2022년 10월 24일,5,5,5,첨시켜봤는데 국물이 뜨끈하고 다 맛있네요
45,ch**님,2022년 10월 24일,5,5,5,빠르게 잘 받고 맛있게 먹었어요
46,pd**님,2022년 10월 23일,5,5,5,항상맛있게 먹고 있읍니다
47,jh**님,2022년 10월 23일,5,5,5,양도 적당하고 맛도 좋음.
48,bo**님,2022년 10월 23일,5,5,5,맛있게 잘 먹었습니다^^
49,dr**님,2022년 10월 22일,5,5,5,떡볶이소스만 서비스 가능한지 요청드렸는데 무리였나 보네요. 소스없이 밍밍하게 먹었습니다. 다 먹기엔 양이 많아서 떡볶이대신 곁들임으로만 주문하는 사람도 있어요 ㅜㅜ 순대 같은 메뉴에 떡볶이 소스추가 같은게 있었으면 좋겠어요 아니면 떡반인분 추가도 좋고요
50,av**님,2022년 10월 21일,5,5,5,맛있게 잘먹었어요^^
51,eb**님,2022년 10월 20일,-,-,-,"항상 맛있어요
꼬치는 처음 먹었는데 매콤해서 좋았습니다
잘먹었습니다"
52,fl**님,2022년 10월 20일,5,5,3,"언제 먹어도 맛있고 빠르고 다함
근데... 문앞에 두시고 아무말도 반응도 없었그...
기다려도 안와서 요기요 확인하니 배달완료라길래 바로 확인해서 다행.... 다식은 음식 먹을뻔!"
53,si**님,2022년 10월 19일,4,3,4,리뷰 깜빡하고 재주문할때 작성해요! 치킨 뜨끈뜨끈하게 오고 맛도 좋아요!
54,ki**님,2022년 10월 19일,4,4,4,맛도 평범하고 배달도 별로 빠르지 않아요
55,jk**님,2022년 10월 19일,5,5,5,👍 👍 👍 👍 👍 👍 👍
56,te**님,2022년 10월 18일,2,4,5,"배고플때먹은건데 순대는 냄새 심하고, 떡볶이는 매운거못드시는분 기준으로 맵고 맛도 별로고, 오징어튀김만 먹을만 했습니다."
57,re**님,2022년 10월 17일,5,5,5,아들들과 맛나게 먹었어요~
58,90**님,2022년 10월 17일,5,5,5,맛잇게 잘먹엇슺니당
59,cb**님,2022년 10월 17일,5,5,5,"맛나요
배달도 빨라요"
60,eb**님,2022년 10월 17일,-,-,-,"잘먹었습니다
항상 맛있고 친절합니다
다음에 또 이용할께요"
61,kk**님,2022년 10월 16일,5,5,5,잘 먹었슈~ 간단한 한끼 딱 좋아유
62,qj**님,2022년 10월 16일,4,5,5,맛있어요 ㅠㅠ 특히 순대가 너무 맛잇었어요 👍🏻👍🏻👍🏻
63,dl**님,2022년 10월 15일,5,5,5,어제도시켜먹었어요 엄청맛나요 배달도빠르고요
64,ji**님,2022년 10월 15일,5,5,5,너무 맛있어서 먹더가 찍었네요 ㅎ 오뎅국물 너무 시원하고 맛있구 김밥이랑 순대도 너무 맛있습니다. 요청사항도 잘 들어주셔서 좋습니다~^^
65,wh**님,2022년 10월 15일,5,5,5,많이파세요!!!!!!
66,dl**님,2022년 10월 14일,5,5,5,너무 맛있게잘먹었습니다 배달도빠르고요
67,lo**님,2022년 10월 14일,5,5,5,배달이 많이 늦긴했지만 잘 해주셔서 맛있게 먹었습니다 감사합니다!!!
68,lk**님,2022년 10월 13일,5,5,4,15분에서 20분 가량 늦게와서 그런가 튀김이 많이 식긴했어요.
69,pa**님,2022년 10월 12일,5,5,5,맛나게 잘먹었습니다!
70,ah**님,2022년 10월 12일,5,5,3,"어묵 맛집이네요!
뜨끈뜨끈하니 깔끔한 포장에
양도 1인분인데 엄청 많구 
육수가 자극적이지않고 푸욱 우러낸 맛이에요!
떡볶이는 그냥그렇고 순대도 약간은 냄새가 나지만
쫀득해요~
땡초김밥/스팸김밥/매운오뎅김밥 강추해요!
* 배달 외주 많을텐데 주제 넘지만 바꾸시는것도 추천드려요 불쾌한일이 좀 있었네요..."
71,fa**님,2022년 10월 12일,5,5,5,진짜 맛있게 잘먹었습니다. 모든 음식이 맛있었습니다. 떡볶이 매워서 놀랐지만 모든 음식이 맛있었고 떡볶이도 맛있게 매운맛
72,   손님,2022년 10월 11일,5,5,5,"맛나게 잘먹었어요
번창하세요"
73,Me**님,2022년 10월 10일,4,4,5,떡볶이가 좀 매워서 맵기 조절이 가능했으면 하는 아쉬움이 남네요. 그래도 전반적으로 괜찮은 편이에요.
74,yu**님,2022년 10월 10일,5,5,5,떡볶이도 생각보다 안매웠고 튀김도 식은 후에 먹어도 맛있었습니다-!!
75,om**님,2022년 10월 10일,5,5,5,늘 김밥 만두 무지하게 맛있어요~~ 배달빠르고  최고에요   추워져서 오뎅시켰는데  맛있어요
76,de**님,2022년 10월 10일,5,5,5,튀김도 바삭하고 어묵탕도 뜨겁고 시원한게 속풀이로 최고~떡볶이는 생각보다 매콤해서 놀랐네요~
77,yy**님,2022년 10월 10일,3,3,3,ㅋㅋㅋㅋ맞잇게 먹었습니다
78,eb**님,2022년 10월 10일,-,-,-,"잘먹었습니다
계란 김밥은 항상 맛있네요"
79,ch**님,2022년 10월 9일,5,5,5,"배달 오래걸리긴하지만, 따뜻하고 새지도않게
잘 왔어요. 매콤해서 맵찔이는 신중하셔야할것같습니다. 맛있게 잘 먹었어요:)"
80,jn**님,2022년 10월 9일,5,4,5,맛있게 먹었어요. 감사합니다~~
81,ha**님,2022년 10월 9일,5,5,5,분식 맛있습니다 추천합니다
82,sh**님,2022년 10월 8일,4,4,5,"가격을 못 올리니 오뎅양이 눈에 띄게 많이 줄었네요..전에는 똑같이 주문해서 둘이 먹으면 배불러서 헐떡 거렸는데 많이 부족하네요,,느낌뿐이 아니라 통통한 오뎅 갯수를 세봐도 확실하고요..김밥만큼은 여기가 제일 맛있어서 여기만 시켰는데 김밥도 짜고 왜 이러죠? 실망입니다"
83,sy**님,2022년 10월 8일,5,5,5,맛있게 잘먹었습니다 감사합니다
84,pa**님,2022년 10월 8일,5,5,5,맛나게 잘먹었습니다!
85,sh**님,2022년 10월 8일,-,-,-,김밥 떡볶이 튀김 다 너무 맛있네요
86,tj**님,2022년 10월 8일,5,5,5,맛있어요 짱짱입니다아
87,kk**님,2022년 10월 7일,5,5,5,만두도 오뎅도 떡볶이도 전부 맛있습니다.
88,ye**님,2022년 10월 7일,5,5,5,너무 잘 먹었어요 흡입했습니다 ㅎㅎㅎ
89,ya**님,2022년 10월 7일,5,5,5,"너무 맛있어요
양도많고 간도 딱 좋아요"
90,eb**님,2022년 10월 6일,-,-,-,"너무 맛있게 잘먹었습니다
참치김밥 최고"
91,jk**님,2022년 10월 6일,5,5,5,👍 👍 👍 👍 👍 👍
92,mj**님,2022년 10월 5일,5,5,5,마이떵마이떵마이떵마이동
93,k0**님,2022년 10월 5일,5,5,5,양도적당하고요맛도좋았어요
94,pa**님,2022년 10월 5일,5,5,5,맛나게 잘먹었습니다!
95,eb**님,2022년 10월 4일,-,-,-,"잘먹었습니다
포장도 빠르고 맛도 아주 좋습니다
다음에 또 먹을께요"
96,jb**님,2022년 10월 3일,4,4,4,신속하고  맛난  음식  젛아요
97,dl**님,2022년 10월 3일,5,5,5,아이들이 떡볶이 먹고싶다고 해서 시켰는데 맛있게 먹었습니다
98,dk**님,2022년 10월 3일,5,5,5,맛잇어요 늦게까지하고 딱 ㅎㅎㅎ
99,fo**님,2022년 10월 3일,5,5,5,양도 많고 맛있습니다. 떡볶이가 조금 맵네요 ㅎㅎㅎ
100,ju**님,2022년 10월 2일,5,5,5,잘 먹었습니다 사장님. 또 주문할께요!
101,du**님,2022년 10월 2일,5,5,5,"떡볶이가생각보다 맵더라고요
양은 엄청난듯...."
102,sc**님,2022년 10월 1일,5,5,5,떡볶이 되게 맛있네영~~
103,eb**님,2022년 9월 30일,-,-,-,"계란듬뿍
김밥 터지는줄알았어요
진짜 양도많고 맛도 최곱니다
잘먹었습니다"
104,ju**님,2022년 9월 28일,5,5,5,정말 잘 먹었습니다 사장님 또 주문할게요!!
105,eb**님,2022년 9월 26일,-,-,-,"항상 맛있습니다
만두도 맛있고 김밥도 맛있고
사장님도 친절하십니다
잘먹었습니다"
106,pl**님,2022년 9월 25일,5,3,3,맛은 있는데 김밥이 잘 안잘라져서 먹기불편했습니다.
107,11**님,2022년 9월 23일,5,5,5,맛있게 잘먹었습니다.
108,jk**님,2022년 9월 23일,5,5,5,"떡볶이  옛날  맛이구요~
군만두, 김밥 맛잏어요.^^
다른 분식점보다 맛 있어요."
109,ka**님,2022년 9월 22일,5,5,5,너무 맛있어서 사진 찍는걸 잊었네요^^ 김밥은 처음 시켜봤는데 정말 맛있어요~~
110,dl**님,2022년 9월 22일,5,5,5,맛있게 잘 먹었습니다.
111,qu**님,2022년 9월 22일,5,5,5,맛있게 잘먹었 습니당~~~~~떡볶이에 오뎅이 없는게 아쉽긴 했어요
112,cj**님,2022년 9월 22일,5,5,5,"늦게 리뷰올려서 죄송합니다 😂 
회사사람들하고 맛나게 잘먹었어요
간사이 어묵 짱ㅋㅋ
떡볶이 는 항상 내스타욀 ㅋ"
113,ta**님,2022년 9월 21일,3,5,5,배불리 잘먹었습니다.
114,ch**님,2022년 9월 21일,5,4,5,맛있어요 구뜨 ㅈㅁㅌ
115,eb**님,2022년 9월 20일,-,-,-,"오늘도 또 주문했네요
항상 맛있어요"
