,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,ti**님,8시간 전,5,5,5,배달이 빠르고 맛있어요
1,um**님,12시간 전,5,5,5,둘이서 먹기 좋은 양이에요! 잘먹었습니당
2,zh**님,어제,5,5,5,배달도 빠르고 맛있게 잘먹었습니다^^
3,ea**님,4일 전,5,5,5,항상 맛있게 먹고 있습니다 만족해용
4,ky**님,4일 전,5,5,5,너무 맛있게 잘먹었습니다~^^
5,to**님,4일 전,5,5,5,맛있고 배달도 빠릅니다
6,li**님,4일 전,5,4,5,보쌈도 맛나고 굴도 비리지 않고 좋앗습니당!
7,ti**님,5일 전,5,5,5,항상 여기 시키는데 맛있어요
8,jd**님,6일 전,5,5,5,"맛있었어요
번창하세요"
9,ha**님,2022년 11월 11일,5,5,5,어우 너무 ✮ 🎀 𝒿𝓂𝓉 🎀 ✮  최애 족발 등극 오늘도 시켜머거야지
10,sk**님,2022년 11월 9일,5,5,5,맛있게잘먹었습니다!! 족발 굿~~~
11,gk**님,2022년 11월 9일,-,-,-,항상 먹는 곳이에요. 잘 먹었습니다👍
12,85**님,2022년 11월 5일,5,5,5,..........
13,le**님,2022년 11월 5일,5,5,5,양도 많고 2번째 주문입니다 서비스 김치전은 생각보다 매운고추가 들어갔는지 속이 맵네요
14,ww**님,2022년 11월 5일,5,5,5,우마이!!!!!!!
15,nw**님,2022년 11월 4일,5,5,5,"늘 변함없는 맛!
맛있게 잘 먹었습니다~
굴이랑 먹으니 더 맛있어요~!"
16,   손님,2022년 11월 2일,5,5,4,...........
17,ba**님,2022년 11월 1일,5,5,5,네감사합니다 ㅎㅎㅎ
18,lg**님,2022년 10월 31일,5,5,5,배달빠르고 맛있어요
19,tk**님,2022년 10월 30일,5,5,5,구성품이 많아 배불리 먹었읍니다
20,gk**님,2022년 10월 30일,-,-,-,일주일만에 또 주문이네요 항상 맛있어요!
21,al**님,2022년 10월 29일,5,5,5,역시 믿고 먹는곳 넘 맛있습니다
22,sk**님,2022년 10월 29일,5,4,5,맵고 맛있네요 ㅎㅎ 잘먹엇습니다
23,jd**님,2022년 10월 29일,5,5,5,"음식맛도 좋고 배달도 좋았습니다
번창하세요"
24,qw**님,2022년 10월 28일,5,5,5,"늘 맛있게 먹고 있어요
이사오기전 집에서 타어플 로 8번 시켜먹어서
쿠폰 8장있는데 
요기요로 시키니 쿠폰이 안왔네요 ㅜ 
한번만 더먹으면 10장인데 아쉬워요
그래도 맛은있으니깐 보쌈은 여기에서만 먹을거에요"
25,zq**님,2022년 10월 28일,5,5,5,음식이 너무 맛있어요.
26,le**님,2022년 10월 24일,5,5,5,맛있게 잘먹었습니다!
27,   손님,2022년 10월 24일,5,5,5,배달도 정말 빠르고 여긴 막국수가 진짜 존맛이에요 !!
28,gk**님,2022년 10월 23일,-,-,-,항상 여기서만 주문합니다! 족발도 막국수도 너무 맛있어요
29,gj**님,2022년 10월 22일,5,5,5,맛있게 잘먹었습니다
30,ca**님,2022년 10월 19일,5,5,5,족발 쫄깃하고 양념 맛있네요~
31,jd**님,2022년 10월 16일,5,5,5,"항상 맛있는거 같습니다
번창하세요"
32,lg**님,2022년 10월 15일,5,5,5,"미소만족 마늘 보쌈은 믿고 먹을만 합니다ㅎㅎ

계속 생각나는 맛이랄까?

맛있게 잘 먹었습니다."
33,al**님,2022년 10월 14일,5,5,5,항상 보쌈 맛있게 먹습니다 늘 맛있어요 근데 오늘 아쉬운 부분이 있다면 늘 주시던 겉절이가 안왔네요 이제 안주시는건지....ㅠ 보쌈은 겉절이랑 먹어야 하는데 아쉬워요 맛은 항상 있어요~~겉절이 아쉽 ㅠ
34,vu**님,2022년 10월 10일,5,5,5,맜있게 먹었습니다 ~~~
35,na**님,2022년 10월 10일,5,4,4,"고기도 엄청 야들야들하고
김치도 맛있어요! 가성비도 좋은 편이라 혼자 푸짐하게 먹기에 딱이에요"
36,jd**님,2022년 10월 8일,5,5,5,"반반보쌈도 맛있었어요
번창하세요"
37,sk**님,2022년 10월 6일,5,5,5,맛있어요 역시 족발은 여기가 짱!!
38,hj**님,2022년 10월 4일,5,5,5,묵사발 따로하는곳없어서 시켯는데 진짜맛잇어오 ㅜ
39,cj**님,2022년 10월 1일,5,5,5,또 주문해서 맛있게 잘 먹었습니다 ~~^^
40,ch**님,2022년 10월 1일,5,5,5,"맛있게 먹었습니다 ㅎㅎ
사업 번창하세요 ㅎㅎ"
41,jd**님,2022년 9월 30일,5,5,5,"맛있어요
번창하세요"
42,zh**님,2022년 9월 30일,5,5,5,배달도 빠르고 맛있게 잘먹었습니다^^
43,do**님,2022년 9월 30일,5,5,5,정말 맛있게 잘 먹었어요 :)
44,gi**님,2022년 9월 27일,5,5,5,"#식후감
너무 맛있게 잘 먹었습니다 ㅎㅎ"
45,mi**님,2022년 9월 25일,5,4,5,"맛있고 깔끔해서 자주 이용하고 있어요~~
족발양이 조금 아쉽지만 막국수와 주먹밥도
있어서 맛있게 먹었네요~~
또 주문할게요^^"
46,nw**님,2022년 9월 24일,5,5,5,"늘 먹어도 맛있습니다~!
얼른 굴 계절 와서 같이 시켜 먹고 싶어요~!"
47,tn**님,2022년 9월 18일,5,5,5,너무너무너무너무 맛있어요👍
48,uz**님,2022년 9월 18일,5,5,5,"간만의 야식인데 역시 틀리지않은 선택입니다. 
배달도 엄청 빨랐고 배 터지게 먹었어요. 맛있어요~~"
49,nz**님,2022년 9월 17일,5,5,5,배달빠르고 맛도 좋아요 추천해요!
50,i0**님,2022년 9월 15일,5,5,5,"너무 맛있어요
양도 많고 불족발 불맛 최고!"
51,sk**님,2022년 9월 13일,5,5,5,"맛있어요 지금까지 먹어본 보쌈도시락중에서 젤 맛있는거 같아요 일단 밥부터 맛있었어요.항상시켜먹으면 윤기없고 퍼석하고 살짝씩 쿰쿰한 냄새가 났는데 여기는 밥이 집에서 지은밥처럼  달큰하니 잘지어진 밥같아요.
그리고 고기도 촉촉하고 잡내안나고 맛있어요담엔 보쌈시켜야겠어요. 무침도 맛있네요. 
아쉬운점이 있다면 개인적인입맛으로는 막국수가 조금 덜 달았으면 좋겠어요. 그래도 맛있게 다 먹었어요 감사합니다!"
52,al**님,2022년 9월 13일,5,5,5,맛도 맛인데 배달리.진짜 너무 빠름 양도 소짜인데 중짜 같음 너무 잘 먹었습니다
53,dp**님,2022년 9월 12일,5,5,5,배달빠르고 맛있게 잘 먹었어요...
54,ah**님,2022년 9월 12일,5,5,5,"포장 상태 아주 깔끔하게 잘 받았습니다!!
음식도 맛있고 구성이 알차서 지인에게 추천드리고 싶네요
하루를 잘 마무리한거같습니다 다음에 또 시킬게요~!!"
55,aj**님,2022년 9월 10일,5,5,5,배달도 빨리 오고 양도 괜찮고 맛있습니다!!
56,st**님,2022년 9월 10일,5,5,4,맛있게 잘 먹었습니다 또 주문할께요
57,   손님,2022년 9월 10일,5,5,3,잘 먹었습니다!!!!😋🥰
58,an**님,2022년 9월 10일,5,5,5,우마이 맛잇게 잘먹엇습니다
59,gk**님,2022년 9월 10일,-,-,-,족발도 막국수도 너무 맛있어요!
60,76**님,2022년 9월 9일,5,5,5,정말 깔끔하고 맛있어요 ㅎ 요청사항도 잘 들어주셔서 감사합니다 특히 진짜 김치가 맛잇네요 감사합니다
61,zb**님,2022년 9월 9일,5,5,5,잘먹었습니다!!! 맛있네요
62,ck**님,2022년 9월 8일,5,4,5,전체적으로 맛잇음 구성도 괜춘 가성ㅂ비굿
63,ho**님,2022년 9월 6일,5,5,5,양굿 맛굿 배달속도 굿~~!!!
64,gm**님,2022년 9월 5일,5,5,5,둘이서 배터지게 먹었어요 보쌈이 야들야들 맛있어요 잘 먹었습니다🤍
65,oh**님,2022년 9월 4일,5,5,5,"강추~
족발도 보쌈도 맛있어요
배터질거같아요ㅡㅜㅜ"
66,sc**님,2022년 9월 2일,5,5,5,처음시켰는데 맛있어요~
67,sk**님,2022년 9월 1일,5,5,5,"오늘도 맛있게 잘 먹었어욥!!
근데 불족발이 지금까지 먹었던 것 중에
제일 덜 매웠던 것 같은데 바꾸신 건가요?!"
