,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,yh**님,2시간 전,4,4,5,괜찮은 맛이었어요. 반찬도 괜찮았어요.
1,ca**님,7시간 전,5,5,5,배송도 빠르고 음식도 깔끔하고 맛있게 잘먹었습니다
2,mo**님,14시간 전,5,5,5,감사합니당 맛있어요!!
3,rk**님,16시간 전,5,5,5,존맛... 자꾸 생각나서 조만간 또 먹을 거 같아요
4,kw**님,16시간 전,5,5,5,배달 빠르고 깔끔하고 맛나게 먹었습니다 ㅎㅎ 굳굳!!
5,so**님,19시간 전,5,5,5,"상추랑 콩나물 무채에 고기한점이면 집나간 입맛도 돌아와요
맛있게 싹싹 비웠습니다"
6,sk**님,어제,5,5,5,"배달도 엄청 빠른데 왤케 맛있음? 
배불리 맛있게 잘 먹었습니다!"
7,ch**님,어제,5,5,5,너무 맛있게 잘 먹었습니다:)
8,ts**님,2일 전,5,5,5,....감사합니다.
9,ta**님,2일 전,5,5,5,맛있게 잘먹었습니다~~
10,yy**님,2일 전,5,5,5,번창하세요~~ 맛있게 먹었습니다
11,co**님,2일 전,5,5,5,자꾸 생각나서 또 주문했어요 리뷰 쓰면서도 또 먹고싶네요..
12,ho**님,3일 전,5,5,5,오랜만에먹어도맛있네요 좋아용
13,ch**님,3일 전,4,4,4,맛있게잘먹었습니다~~
14,ma**님,3일 전,5,5,5,항상 잘 먹고 있습니다
15,a2**님,3일 전,3,5,5,"계란 말이땀시 시켰어요
고기는 제입엔 냄새나고 질기네요ㅜㅠ
조금만시킬껄 후회햏어요ㅜㅠ"
16,rk**님,4일 전,5,5,5,언제먹어도 맛있어용
17,do**님,4일 전,5,5,5,사진은 못찍었지만 진짜 맛있었어요. 밑반찬도 딱 좋았어요 👍🏻👍🏻
18,jk**님,4일 전,5,5,5,맛있게 잘 먹었습니다!
19,ha**님,4일 전,5,5,5,항상 시켜먹는곳인데 진짜 존맛탱입니다.
20,tr**님,4일 전,5,5,5,고소하고 잘 익은 고기에 반찬까지 넘 맛있었어요 배달도 빨랐습니다
21,ch**님,5일 전,5,5,5,비린내도 안나고 살코기만 주문가능하고 맛있어요~~
22,jh**님,5일 전,5,5,5,"으아 너무 배불러요 양 그람스로봣을때 적은줄알앗는데 배터지네여..
쌈싸먹는게 젤맛!! 무생채도 맛나욤"
23,mg**님,5일 전,5,5,5,잘 먹었어요~~~~
24,so**님,5일 전,5,5,5,굿굿 맛있어요👏👏👏
25,sc**님,6일 전,5,5,5,잘먹었습니다 감사합니다 ㅎㅎㅎㅎㅎ
26,ho**님,6일 전,5,5,5,맛있게 잘 먹었습니다
27,gh**님,6일 전,5,5,5,배달 엄청 빨랐구요. 맛은 역시구요ㅎㅎ 잘먹었습니다!!
28,ca**님,일주일 전,5,5,5,배송도 빠르고 음식도 깔끔하고 맛있게 잘먹었습니다
29,eu**님,일주일 전,5,5,5,오랜만에 본가와서 너무 맛있게 잘 먹었습니다!
30,   손님,2022년 11월 7일,5,5,5,배달 엄청빠르고 맛있어요!! 마늘도 많이주셔서 감사합니다! 서비스 사이다도 잘 먹었습니다 번창하세요~!
31,dl**님,2022년 11월 7일,5,4,5,"다음엔 고기를 더 추가해야겠어요,,! 추가해서 먹어도 살짝 부족한느낌이네요ㅠㅠ맛은 최고 !"
32,sk**님,2022년 11월 7일,5,5,5,"배달도 빠르게 잘오고 맛있게 잘먹었습니다
시켜먹을때마다 너무 잘먹고있습니다"
33,8z**님,2022년 11월 7일,5,5,5,고기 맛집 뿐만 아니라 무랑 콩나물도 맛집..
34,tp**님,2022년 11월 7일,5,5,5,"잘먹었어요,,감사합니다"
