,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,mi**님,15시간 전,5,5,5,배달도 시간내로 오고 맛도 있었어욤❤️
1,gk**님,15시간 전,5,3,4,사진에 없지만 치즈볼 맛있었어여
2,vj**님,16시간 전,5,5,5,발 먹었습니다~~~~~
3,03**님,19시간 전,5,5,5,맛있게 잘 먹었습니당!
4,48**님,어제,4,4,5,짜요ㅠㅠㅠㅜㅠㅠㅠㅠ
5,py**님,어제,5,5,5,"가끔 찜닭이 생각나서 시켜먹는 곳이예요. 
자주는 아니지만 맛있게 먹고 있어요~
혹시나 애기가 먹을까 싶어서 순한 맛으로 주문했더니 먹다보니 어른입맛엔 좀 느끼하긴 했지만 절임무랑 먹으니 다먹었어요 ㅎㅎ
반쪽 감자는 다 익었는데 통감자가 속이 덜익어서 그것만 빼곤 만족스럽게 배불리 잘 먹었어요~
번창하세요~^^"
6,rl**님,어제,5,5,5,잘먹었습니다
7,wl**님,2일 전,5,5,5,"맛있는 한끼였습니다
슴슴하게 간장의 단맛으로 먹고싶으시면 중간맛 시키시면 좋을거같아요"
8,yo**님,2일 전,4,4,4,맛나게 먹었습니다 번창하세요
9,ho**님,2일 전,5,5,5,"찜닭은 역쉬 두찜이 젤  입맛에  딱입니다
쓱쓱~  맛있게  항상 먹 고 있어요
당면은 넙적당면으로
아주 좋습니다
대박나세요~"
10,dk**님,2일 전,5,5,5,"맛있게 됬어요
역대급이네요"
11,lo**님,3일 전,5,5,5,맛있아용👍👍 잘 먹었습니당
12,wd**님,4일 전,5,5,5,엄청 맛있어요!!!
13,an**님,4일 전,5,5,5,너무 배고팠는데 너무 맛있게 잘 먹었습니다:)
14,ji**님,5일 전,5,5,5,진짜 맛있었어요..
15,do**님,6일 전,5,5,5,정말 맛있게 먹었습니다
16,ko**님,일주일 전,5,5,5,오랜만에 시켜막었는데 정말 맛있게 잘먹었어요
17,dd**님,일주일 전,3,5,2,파스타가 다 뿔어서 왔어요...
18,ay**님,일주일 전,5,5,5,완전 잘먹었습니다.
19,ls**님,2022년 11월 6일,3,4,4,일반맛이 가성비부터 맛까지  더 나은듯
20,kl**님,2022년 11월 5일,5,5,5,저녁한끼 뚝딱입니다..잘먹었습니다.
21,s9**님,2022년 11월 3일,5,5,5,맛나게 잘먹었습니다ㅎ
22,ch**님,2022년 11월 3일,5,5,5,맛나게 잘 먹었습니다!
23,cy**님,2022년 11월 2일,5,5,5,맛있게먹었습니다~감사합니다
24,uh**님,2022년 11월 1일,5,5,5,닭도리탕은 역시 두찜~ 고민도 없이 두찜~
25,sa**님,2022년 11월 1일,5,5,4,맛있긴 했는데 밥도 빠져서 오고 배달도 오래걸려서 아쉬웠네요
26,tm**님,2022년 10월 31일,5,5,5,두찜 언제 먹어도 맛있어요 구로고척점에서는 처음 시켰는데 배달이 생각보다 빨리오고 딱 맛있고 좋네요 다음에 또 주문하겠습니다
27,ni**님,2022년 10월 31일,5,5,5,언제나 같은맛 좋은 저녁이었습니다.
28,rl**님,2022년 10월 31일,-,-,-,잘먹었습니다
29,he**님,2022년 10월 30일,5,5,5,맛있게 잘 먹었어요. 찜닭 생각날때 두찜 시켜요ㅋㅋ
30,ne**님,2022년 10월 30일,4,5,4,음식이 식다못해 차갑게왔어요. 미트볼은 고기비린맛이나고 ㅜㅜ 천원짜리변호사보다 맛있어보여서 주문했는데 ㅜㅜ
31,je**님,2022년 10월 29일,4,4,5,"공깃밥이 안왔어요 전화해서 말씀드리려다 그냥 리뷰로 남깁니다
다음엔 실수없이 보내주세요. 맛은 있었습니다"
32,ta**님,2022년 10월 29일,5,5,5,맛있게 잘 먹었습니다
33,kl**님,2022년 10월 28일,5,5,5,"먹고싶을땐 할인을 안해 슬퍼요.ㅠ
맛있게 먹었습ㄴ다"
34,dk**님,2022년 10월 27일,5,5,5,"기대안했는데
맛있네요"
35,ri**님,2022년 10월 27일,5,5,5,맛있게 잘 먹었습니다~
36,fl**님,2022년 10월 27일,5,5,5,로제닭발 강추합니다. 소스가 적당히 맵고 부드럽고 닭발과도 너무 잘 어울려요. 또 주문할께요.
37,de**님,2022년 10월 27일,5,5,5,먹고 싶었던 그 맛이었습니다. 양도 많고 맛있어요
38,qo**님,2022년 10월 26일,4,4,5,"맛나게 잘먹었어요   예상시간보다 빨리 도착해서  좋았습니다.
오뎅튀김 맛있네요"
39,su**님,2022년 10월 26일,5,5,5,너무너무 잘먹었어용 ~~~😍😍
40,bi**님,2022년 10월 26일,5,5,5,진짜 로제 무뼈닭발 신의 한 수 입니다 너무너무 맛있었어용!!
41,se**님,2022년 10월 26일,5,5,5,맛있게 잘먹었습니다
42,ga**님,2022년 10월 25일,5,5,5,"여기 진짜 맛있어요 
엄청 자주 시켜먹고있습니당"
43,ee**님,2022년 10월 25일,5,5,5,로제찜닭 완전 맛나게먹엇어요! 양도푸짐하고 좋아요~~!!
